Software,ArXiv,CiteSeer,IEEE Xplore,PubMed,UnpaywallUnpaywall,Other
Bebop,No,No,No,No,No,No
BibBase,No,No,No,No,No," DBLP, DBLP, DBLP, DBLP "
BibDesk,Yes,Yes,No,Yes,No," Association for Computing Machinery portal, Association for Computing Machinery, Association for Computing Machinery, Association for Computing Machinery, Web of Science, any Association for Computing Machinery or Association for Computing Machinery, and others "
Biblioscape,No,No,No,Yes,No,Import from integrated web browser
BibSonomy,Yes,Yes,Yes,Yes,No,various[42]
Bibus,No,No,No,Yes,No,none
Bookends,Yes,No,No,Yes,No," Web of Science, Amazon, Google Scholar, Z39.50 "
Citavi,Yes,Yes,Yes,Yes,No," WorldCat/WorldCat, WorldCat, WorldCat, WorldCat, WorldCat, WorldCat (4500+ online resources), WorldCat. Further catalogs are added upon WorldCat. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, WorldCat and import from Wikipedia. "
CiteULike,Yes,Yes,Yes,Yes,No,various [4]
colwiz,Yes,Yes,Yes,Yes,No," Over 30 repositories, Import from integrated web browser "
EndNote,Yes,No,Yes,Yes,No,variousZ39.50 any Z39.50
JabRef,Yes,Yes,Yes,Yes,Yes[44]," ACM Portal, ACM Portal, ACM Portal, ACM Portal, ACM Portal, GVK, ACM Portal, ACM Portal, ACM Portal, ACM Portal, ACM Portal, ACM Portal, and ACM Portal "
KBibTeX,Yes,Yes,Yes,Yes,No," BibSonomy, BibSonomy, BibSonomy, BibSonomy, BibSonomy, BibSonomy, BibSonomy, BibSonomy, BibSonomy "
Mendeley,Yes,Yes,Yes,Yes,No,various [5]
Paperpile,Yes,No,No,Yes,No,Google Scholar
Pybliographer,No,No,No,Yes,No,none
Qiqqa,Yes,No,Yes,Yes,No," GoogleScholar, JSTOR "
ReadCube (now Papers),Yes,No,Yes,Yes,No," Microsoft Academic, Google Scholar "
refbase,Yes,No,No,Yes,No,Digital object identifier lookup
RefDB,Yes,No,No,Yes,No,any Z39.50
Reference Manager,No,No,No,Yes,No,various[45]
Referencer,?,?,?,?,No,?
RefME,?,?,?,?,?,?
RefWorks,No,No,No,Yes,No,various
SciRef,No,No,No,No,No,No
Sente,Yes,Yes,Yes,Yes,No," Z39.50, SRU, Web of Knowledge "
Wikindx,No,No,No,Yes,No,via plug-ins
WizFolio,Yes,No,Yes,Yes,No,various[46]
Zotero,Yes,Yes,Yes,Yes,Yes[47],various[48]
