Name,Resource access control,Subsystem isolation mechanisms,Integrated Firewall (computing),Encrypted file systems,NX bit,,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1],,,,,
Secunia,,,,,,,Security- Focus
,,,,,Hard- ware,Emula- tion,Extremely critical (number / oldest),Highly  critical (number / oldest),Moderately critical (number / oldest),Less critical  (number / oldest),Not critical (number / oldest),Total (number / oldest)
,,,,AIX operating system," Filesystem permissions, Filesystem permissions, Filesystem permissions, Filesystem permissions, Filesystem permissions ",Chroot," IPFilter, IPFilter VPNs, basic IDS ",Yes,Yes[s 2],N/A,Unknown,,,,,0
FreeBSD 10.1," Filesystem permissions, Filesystem permissions, Filesystem permissions "," Chroot, Chroot, MAC partitions, Chroot, Chroot, BSD file flags set using Chroot, Capsicum Chroot "," IPFW2, IPFW2, IPFW2, IPFW2 ",Yes,Yes,Yes[s 3],0,0,0,0,0,>0
GhostBSD 3.1," POSIX, ACLs, MAC "," chroot, Operating system-level virtualization, MAC partitions, BSD file flags set using Operating system-level virtualization "," IPFW2, IPFilter, IPFW2 ",Yes,Yes,Yes,0,0,0,0,0,>0
Genode," Hierarchal,Least privilege Least privilege ",Capability-based security,Virtual switch and Network address translation controls in user-space,No,kernel dependent,No,Unknown,,,,,
HP-UX 11.31," POSIX, ACLs ",chroot,IPFilter,Yes,?,?,0,0," 3 June 30, 2004; 15 years ago (2004-06-30) "," 2 December 12, 2002; 17 years ago (2002-12-12) ",0,>0
Inferno (operating system),POSIX," Namespace,Namespace Namespace, no Namespace or Namespace bit ",?,?,No,No,Unknown,,,,,>0
Linux 2.6.39," POSIX, ACLs,[s 4] MAC "," chroot,Seccomp Seccomp, Seccomp, Seccomp, Seccomp "," Netfilter, varied by distribution ",Yes,Yes,Yes,0,0,0," 6 June 24, 2004; 15 years ago (2004-06-24) "," 11 April 4, 2005; 14 years ago (2005-04-04) ",>0
Classic Mac OS 9.2.2,No,No,No,No,No,No,0,0,0,0,0,>0
OS X 10.10.5," POSIX, ACLs[s 6] "," chroot, BSD file flags set using chflags ",Ipfirewall,Yes," Yes (as of 10.5, X64 only)",Yes (Intel only),0,0," 1 April 14, 2009; 10 years ago (2009-04-14) "," 2 January 8, 2007; 12 years ago (2007-01-08) "," 5 November 22, 2006; 13 years ago (2006-11-22) ",>0
NetBSD 6.1.2," POSIX, Veriexec, PaX, kauth "," chroot, kauth, BSD file flags set using chflags "," IPFilter, NPF (firewall), PF ",Yes,Yes,No,Unknown,,,,,>0
Novell NetWare,Directory-enabled ACLs,Protected address spaces,IPFLT.NLM,Yes,Yes,No,0,0," 1 August 31, 2010; 9 years ago (2010-08-31) "," 2 October 30, 2003; 16 years ago (2003-10-30) ",0,0
Novell Open Enterprise Server,Directory-enabled ACLs,chroot,IPFilter,Yes,Yes,No,Unknown,,,,,>0
OpenBSD 4.8,POSIX," chroot, systrace, BSD file flags set using chflags ",PF,Yes,Yes,Yes,Unknown,,,,,>0
OpenVMS 8.4," ACLs, Privilege (computing) ",logical name tables,?,?,Yes,?,0,0,0,0,0,Unknown
" OS/2, OS/2 ",ACLs[s 7],No,IPFilter,No,?,?,0,0,0,0,0,0
TrueOS 8.1," POSIX, ACLs, MAC "," chroot, jail, MAC partitions "," IPFW2, IPFilter, PF ",Yes[s 8],?,?,0,0,0,0,0,>0
Plan 9 from Bell Labs,POSIX ?," Namespaces,[34] capability-based security, no superuser or setuid bit ",ipmux,Yes,No,No,Unknown,,,,,>0
QNX 6.5.0,POSIX,?," PF, from NetBSD ",?,?,?,0,0,0," 5 November 20, 2002; 17 years ago (2002-11-20) "," 1 November 7, 2002; 17 years ago (2002-11-07) ",Unknown
RISC OS,No,No,IPFilter,No,No,No,Unknown,,,,,
Solaris (operating system)," POSIX, RBAC, ACLs, Least privilege, Least privilege "," chroot, Solaris Containers,Solaris Containers Solaris Containers ",IPFilter,Yes[s 10],Yes,No,0," 2 October 31, 2007; 12 years ago (2007-10-31) "," 5 October 23, 2007; 12 years ago (2007-10-23) "," 3 September 10, 2009; 10 years ago (2009-09-10) "," 2 November 6, 2006; 13 years ago (2006-11-06) ",>0
OpenSolaris 2009.06," POSIX, RBAC, ACLs, least privilege, Trusted Extensions "," chroot, Containers,[s 9] Logical Domains ",IPFilter,Yes[s 10],Yes,No,0,0,0,0,0,>0
Windows Server 2012," ACLs, privileges, RBAC "," Win32 WindowStation, desktop, job objects ",Windows Firewall,Yes,Yes,Yes,0,0,0,0,0,[Unknown]
Windows 8.1," ACLs, privileges, RBAC "," Win32 WindowStation, desktop, job objects ",Windows Firewall,Yes,Yes,Yes,0,0,0,0," 1 May 30, 2014; 5 years ago (2014-05-30) ",[Unknown]
Magnussoft ZETA,POSIX[s 11],No,No,No,No,No,Unknown,,,,,
