Application,Creator,Software license
Ashampoo Burning Studio,Ashampoo Software,Freemium
Alcohol 120%,Alcohol Soft,Shareware
CDBurnerXP," Stefan Haglund, Fredrik Haglund ",Freeware Freeware
Cdrtools,Jörg Schilling,Open-source license (Open-source license parts are Open-source license)
DeepBurner,Astonsoft,Freemium
Express Burn Disc Burning Software,NCH Software,Freemium
ImgBurn,LIGHTNING UK!,Freeware Freeware
InfraRecorder,Christian Kindahl,Open-source license (Open-source license)
K3b," Sebastian Trüg, Christian Kvasny ",Open-source license (Open-source license)
Libburnia,Libburnia team,Open-source license (Open-source license)
Nero Burning ROM,Ahead Software,Shareware
UltraISO,EZB Systems,Shareware
X-CD-Roast,T. Niederreiter,Open-source license (Open-source license)
