Browser engine,Trident (layout engine),Gecko (layout engine),WebKit,Presto (layout engine),Blink (layout engine)
Corresponding JavaScript engine,JScript/JScript,SpiderMonkey (JavaScript engine),WebKit,Presto (layout engine),V8 (JavaScript engine)
ECMAScript Edition 3,Yes,0.6,Yes,1.0,Yes
ECMAScript Edition 5,5.0,2.0,Partial,Yes,Yes
ECMA Script Edition 6,,,,,
JavaScript 1.5 extensions,No,0.6,Yes,1.0,Yes
JavaScript 1.6 extensions (excluding E4x),No,1.8,Partial,Partial,Partial
JavaScript 1.7 extensions,No,1.8.1,No,Partial,No
JavaScript 1.8 extensions,No,1.9,Partial,No,Partial
JavaScript 1.8.1 extensions,No,1.9.1,No,No,No
JScript .NET extensions,No,No,No,No,No
ActionScript extensions,No,No,No,No,No
E4X,No,Dropped[1],No,No,No
