Software,BibTeX,Copac,CSA (database company),EndNote/EndNote/EndNote,Information Sciences Institute,Medline,Metadata Object Description Schema,Ovid Technologies,PubMed,RIS (file format),SciFinder,Other
Bebop,Yes,No,No,No,No,No,No,No,No,No,No,none
BibBase,Yes,No,No,No,No,No,No,No,No,No,No,none
BibDesk,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes," MARC, JSTOR, Reference Miner "
Biblioscape,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
BibSonomy,Yes,No,No,Yes,No,No,No,No,No,No,No,Firefox bookmarks
Bibus,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,none
Bookends,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various [3]; user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,No,No,No,No,No,Yes,No,none
colwiz,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No," with built-in browser, bookmarklet "
EndNote,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various[19]
F1000Workspace,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No," EndNote XML, NBIB from PubMed, Medline, PDF "
JabRef,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," BibTexML (page does not exist), BibTexML (page does not exist), BibTexML (page does not exist), BibTexML (page does not exist), BibTexML (page does not exist), BibTexML (page does not exist), PDF widh XMP annotations, BibTexML (page does not exist), BibTexML (page does not exist), BibTexML (page does not exist) "
KBibTeX,Yes,No,No,Yes,No,No,Depends[17],No,Yes,Yes,No,none
Mendeley,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Web browser bookmarks
Paperpile,Yes,No,No,No,No,No,No,No,No,Yes,No,PDF
Pybliographer,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,none
Qiqqa,Yes,No,No,Yes,No,No,No,No,Yes,No,No,none
ReadCube (now Papers),Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,PDF
refbase,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,RefWorks
RefDB,Yes,Yes[17],No,Yes[17],Yes[17],Yes,Yes,No,Yes,Yes,Yes[17]," MARC standards, risx "
Reference Manager,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various;[20] user-customizable
Referencer,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,none
RefWorks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various[21]
SciRef,No,No,No,Yes,No,No,No,No,No,Yes,No,?
Sente,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes," Dublin Core, Marc21 SUTRS, JSTOR, SilverPlatter "
Wikindx,Yes,Depends[17],No,Yes[ Wikipedia:Citation needed ],Depends[17],No,Depends[17],No,Yes[ Wikipedia:Citation needed ],Yes[ Wikipedia:Citation needed ],No," ISI, BibReX LaTeX "
WizFolio,No,No,No,No,No,No,No,No,No,Yes,No,Internet Browser bookmarks[22]
Zotero[23],Yes,No[24],No[24],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No," COinS, COinS, COinS, COinS, COinS bookmarks, Endnote XML "
