Manufacturer,Module,SOC/SIP Chip,MCU core,RAM,Flash,Antenna,Sleep,TX,RX,TX Power,Sensitivity,PCB Size,Released,Interfacing,Firmware options
Anaren,A2530R24A   Data sheet,CC2530   Data sheet,32 MHz   8-bit 8051,8 kB,256 kB,Printed Trace,1 μA,34 mA,25 mA,4 dBm,-90 dBm,11 mm × 19 mm," July, 2012 "," UART,   UART "," AIR-ZNP, based on TI Z-Stack "
,A2530R24C   Data sheet,,,,,U.FL,,,,,,,,,
,A2530E24A   Data sheet,,,,,Printed Trace,,130 mA,28 mA,15 dBm,-95 dBm,,,,
,A2530E24C   Data sheet,,,,,U.FL,,106 mA,28 mA,13 dBm,-95 dBm,,,,
Atmel,ZigBit 2.4 GHz   (ATZB-24-B0)   datasheet,AT86RF230 datasheet,8-bit   ATmega   1281v,8 kB,128 kB,RF output,< 6 μA,18 mA,19 mA,-17 dBm   to   3 dBm,-101 dBm,18.8 mm × 13.5 mm × 2.0 mm,2009," UART,   USART,   UART,   UART,   UART "," BitCloud - ZigBee PRO,   Wireless MCU Software,   BitCloud stack,   SerialNet,   OpenMAC "
,ZigBit 2.4 GHz   (ATZB-24-A2)   datasheet,,,,,balanced dual chip antenna,,,,,,24 mm × 13.5 mm × 2.0 mm,,,
,ZigBit 2.4 GHz Amplified   (ATZB-A24-U0)   datasheet,,,,,RF output,,50 mA,23 mA,Up to   20 dBm,-104 dBm,38 mm × 13.5 mm × 2.0 mm,,,
,ZigBit 2.4 GHz Amplified   (ATZB-A24-UFL)   datasheet,,,,,U.FL,,,,,,,,,
,ZigBit 700/800/900 MHz   (ATZB-900-B0)   datasheet,AT86RF212 datasheet,,,,RF output,26 mA,11 mA,Up to   11 dBm,–110 dBm,24 mm × 13.5 mm × 2.8 mm,,
California Eastern Laboratories,ZICM357SP2   datasheet   brochure,EM357   datasheet   brochure," 32 bit,   ARM Cortex-M ",12 kB,192 kB,PCB Trace Antenna or RF Port for External Antenna,1 μA,58 mA,34 mA,20 dBm,–103 dBm,23.9 mm × 16.6 mm," Apr, 2012 "," UART,   UART,   UART ",,ZigBee PRO stack: EmberZNet PRO
,ZICM357SP0   datasheet   brochure,EM357   datasheet   brochure," 32 bit,   ARM Cortex-M ",12 kB,192 kB,PCB Trace Antenna or RF Port for External Antenna,1 μA,31 mA,30 mA,8 dBm,–100 dBm,23.9 mm × 16.6 mm," Apr, 2012 "," UART,   UART,   UART ",ZigBee PRO stack: EmberZNet PRO
