English,Standard Malay,Indonesian
wikt:account,akaun,akun
Accountability,akauntabliti,akuntabilitas
Accountant,akauntan,akuntan
wikt:amateur,amatur,amatir
Architect,arkitek,arsitek
Armed forces,tentera,tentara
Auction,lelong,lelang
Autonomy,autonomi,otonomi
Balcony,balkoni,balkon
Bell,loceng,lonceng
because (grammatical conjunction),kerana,karena
Biome,biom,bioma
Bridge,jambatan,jembatan
" broken, damaged ",rosak,rusak
Business,bisnes,bisnis
Bus,bas,bus
Cancer (diseases),kanser,kanker
Legal case,kes,kasus
Cement,simen,semen
civil,sivil,sipil
community,komuniti,komunitas
concert,konsert,konser
counter,kaunter,konter
December,Disember,Desember
Dialect,loghat,logat
wikt:different,beza,beda
Doctor (title) (medical practitioner),doktor,dokter
eight,lapan,delapan
wikt:Europe,Eropah,Eropa
Export,eksport,ekspor
faculty,fakulti,fakultas
Finance,kewangan,keuangan
garage,garaj,garasi
Gonorrhea,gonorea,gonore
wikt:immigration,imigresen,imigrasi
Mathematics,matematik,matematika
Magistrate,majistret,magistrat
meaning,erti,arti
Medication,ubat,obat
Minute,minit,menit
Money,wang,uang
Music,muzik,musik
" namely, e.g. ",iaitu,yaitu
News,khabar,kabar
Newspaper,surat khabar,surat kabar
Number,nombor,nomor
official (adj.),rasmi,resmi
official position,jawatan,jabatan
Parliament,parlimen,parlemen
Party (political),parti,partai
Passport,pasport,paspor
Phase,fasa,fase
Physics,fizik,fisika
wikt:popular,popular,populer
Prototype,prototaip,prototipe
Sauce,sos,saus
Sausage,sosej,sosis
Scenario,senario,skenario
scheme,skim,skema
Secret,rahsia,rahasia
Snow,salji,salju
Sputum,kahak,dahak
wikt:station,stesen,stasiun
taxi,teksi,taksi
Tempo,tempoh,tempo
thin,nipis,tipis
Thursday,Khamis,Kamis
" truck, lorry ",trak,truk
University,universiti,universitas
Want,mahu,mau
zone,zon,zona
