,Data compression,Shell (computing) integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file / directory namesUnicode,Encryption,Filename Encryption
7-Zip,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ALZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes[8],No,Unknown,Unknown
Archive Manager,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Archive Utility,Yes,Yes,No,Unknown,No,No,Yes,Yes,Unknown,Unknown
ARJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown
Ark (computing),Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
B1 Free Archiver,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
BetterZip,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Tar (file format),No[2],Yes,No,Yes,No,No,Yes,Yes,Unknown,Unknown
Commander One,Yes,No,Yes,No,No,No,Yes,Yes,Unknown,Yes for 7z
CRAX Commander,Yes,Yes,No,No,No,No,Yes,Yes,No,No
DAR (Disk Archiver),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Filzip,Yes,Yes,Yes,Unknown,Yes,No,No,Unknown,Unknown,Unknown
FreeArc,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Tar (file format),No[2],Yes,No,Yes,No,Separate,Yes,Yes,Unknown,Unknown
IArchiver,Yes,No,Yes,Yes,No,No,No,Yes,Unknown,Unknown
Info-ZIP,Yes,No[11],Yes,Yes[12],Yes,Yes,Yes,Yes[12],Weak,No
KGB Archiver,Yes,Not enabled by default,Yes,Unknown,Yes,No,No,Yes,Yes,Unknown
Peazip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[9],Yes[10],Yes
PKZIP,Yes,Yes,Yes,No,Separate,Separate,No,Yes,Yes,Unknown
PowerArchiver,Yes,Yes,Yes,Yes,Yes,Yes,Yes[7],Yes,Yes,Yes
StuffIt,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown
The Unarchiver,No[1],some formats,Yes,Yes,Yes,Yes,Yes,Yes[1],Yes,Unknown
TUGZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unknown
WinAce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unknown
WinRAR and RAR,Yes,Yes,Yes,Yes,Yes,Yes[3],Yes,Yes[6],Yes,Yes
WinZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes[10],Yes,Yes,Yes
XAD (software),No[1],Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
Xarchiver,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
ZipGenius,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,No,Unknown,Unknown
ZPAQ,Yes,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown
,Data compression,Operating system shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file / directory namesUnicode,Encryption,Filename Encryption
