,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Interface StyleSheet,,,,,,,
DOM2,type,6.0,?,1.0,Yes,?,2.0
,disabled,,?,,,?,
,ownerNode,No,?,,,?,
,parentStyleSheet,6.0,?,,,?,
,href,8.0,?,,,?,
,title,6.0,?,,,?,
,media,Incorrect,?,,,?,
Interface StyleSheetList,,,,,,,
DOM2,length,6.0,?,1.0,Yes,?,2.0
,item(),,?,,,?,
Interface MediaList,,,,,,,
DOM2,mediaText,No,?,1.0,Yes,?,2.0
,length,,?,,,?,
,deleteMedium(),,?,,,?,
,appendMedium(),,?,,,?,
Interface LinkStyle,,,,,,,
DOM2,sheet,No,?,1.0,No,?,2.0
Interface DocumentStyle,,,,,,,
DOM2,styleSheets,No,?,1.0,No,?,2.0
