System,Email,RSS,Atom (standard),Extensible Messaging and Presence Protocol,Twitter
Apache Bloodhound,Yes,Yes,No,No,No
Assembla Tickets,Yes,Yes,No,No,Yes
Axosoft,Yes,Yes,No,No,No
Bugzilla,Yes,Yes,Yes,No,No
Debbugs,Yes,No,No,No,No
Faveo,Yes,No,No,No,No
FogBugz,Yes,Yes,No,No,No
Fossil (software),Yes,Yes,No,No,No
FusionForge,Yes,Yes,No,No,No
GLPI,Yes,No,No,Yes,No
GNATS,Yes,No,No,No,No
HP Quality Center,Yes,No,No,No,No
IBM Rational ClearQuest,Yes,No,No,No,No
Jira (software),Yes,Yes,No,Yes,No
Mantis Bug Tracker,Yes,Yes,No,No,Yes
Microsoft Dynamics CRM,Yes,No,No,No,No
Org-mode,No,No,No,No,No
OTRS,Yes,No,No,No,No
Phabricator,Yes,No,No,No,No
Pivotal Tracker,Yes,Yes,Yes,No,Yes
Redmine,Yes,Yes,Yes," Yes, via plugin ",Yes
Request Tracker,Yes,Yes[69],No,No,No
Roundup (issue tracker),Yes,Yes[70],Yes[70],No,No
StarTeam,Yes,No,No,No,No
Supportworks,Yes,No,No,No,No
SysAid Technologies,Yes,No,No,No,No
Team Foundation Server,Yes,No,No,No,No
TestTrack,Yes,Yes,No,No,No
Trac,Yes,Yes,No,No,No
Tracker (business software),Yes,No,No,No,No
Twproject,Yes,Yes,No,No,Yes
Wrike (software),Yes,No,No,No,No
YouTrack,Yes,Yes,No,Yes,No
