Name, Nearest city, Skiable area (acres), Top elevation (feet), Base elevation (feet), Vertical (feet), Runs, Lifts, Snowfall (in/year), Date Statistics Updated
Arapahoe Basin, Dillon, 1428, 13050, 10520, 2530, 147, 9, 350, March 2020[1]
Aspen Highlands, Aspen, 1040, 11675, 8040, 3635, 117, 5, 300, March 2020[2]
Aspen Mountain, Aspen, 675, 11212, 7945, 3267, 76, 8, 300, March 2020[3]
Beaver Creek, Beaver Creek, 1832, 11440, 8100, 3340, 150, 23, 325, March 2020[4]
Breckenridge, Breckenridge, 2908, 12998, 9600, 3398, 187, 34, 353, March 2020[5]
Buttermilk, Aspen, 470, 9900, 7870, 2030, 44, 8, 200, March 2020[6]
Ski Cooper, Leadville, 470, 11700, 10500, 1200, 60, 5, 260, Jan 2020
Copper Mountain, Copper Mountain, 2490, 12441, 9712, 2738, 140, 24, 305, March 2020[7]
Crested Butte, Crested Butte, 1547, 12162, 9375, 2787, 121, 15, 234, March 2020[8]
Echo Mountain, Evergreen, 60, 10650, 10050, 600, 13, 3, 275, 
Eldora, Nederland, 680, 10600, 9200, 1400, 63, 10, 300, March 2020[9]
Granby Ranch, Granby, 406, 9202, 8202, 1000, 35, 6, 220, 
Hesperus, Hesperus, 60, 8880, 8100, 700, 13, 2, 150, 
Howelsen, Steamboat Springs, 50, 7136, 6696, 440, 17, 1, 170, 
Kendall, Silverton, 16, 9540, 9300, 240, 11, 1, 200, 
Keystone, Keystone, 3148, 12408, 9280, 3128, 128, 20, 235, March 2020[10]
Loveland, Dillon, 1800, 13010, 10800, 2210, 94, 11, 422, March 2020[11]
Monarch, Salida, 800, 11960, 10790, 1170, 54, 5, 375, 
Otter Mountain, Georgetown, 300, 12700, 10600, 2100, 17, 2, 210, March 2020[12]
Powderhorn, Grand Junction, 1600, 9850, 8200, 1650, 37, 4, 250, 
Purgatory, Durango, 1525, 10822, 8793, 2029, 94, 11, 260, 
Silverton Mountain, Silverton, 1819, 12300, 10400, 3087, 69, 1, 460, 
Snowmass, Snowmass Village, 3339, 12510, 8104, 4406, 98, 21, 300, March 2020[13]
Steamboat, Steamboat Springs, 2965, 10568, 6900, 3668, 169, 18, 314, March 2020[14]
Sunlight, Glenwood Springs, 470, 9895, 7885, 2010, 67, 4, 252, 
Telluride, Telluride, 2000, 12515, 8725, 3790, 148, 17, 280, March 2020[15]
Vail, Vail, 5317, 11570, 8120, 3450, 195, 31, 354, March 2020[16]
Winter Park, Winter Park, 3081, 12060, 9000, 3060, 166, 23, 314, March 2020[17]
Wolf Creek, Pagosa Springs, 1600, 11904, 10300, 1604, 133, 9, 430, March 2020[18]
