File system,Sparse file,Block suballocation,Tail packing,Extent (file systems),Variable file block size[ci],Allocate-on-flush,Copy on write,Trim (computing) support
DECtape,No,No,No,No,No,No,No,No
BeeGFS,Yes,No,No,Yes,Yes,Yes,Yes,?
Level-D,No,No,No,Yes,No,No,No,?
APFS,Yes,?,?,Yes,?,Yes,Yes,Yes[69][70]
Version 6 Unix file system (V6FS),Yes,No,No,No,No,No,?,No
Version 7 Unix file system (V7FS),Yes,No,No,No,No,No,?,No
ExFAT,No,No,No,Partial (only if the file fits into one contiguous block range),No,No,No,Yes
FAT12,Partial (only inside of compressed volumes)[71],Partial (only inside of Stacker 3/Stacker 3 and Stacker 3 compressed volumesStacker 3),No,Partial (only inside of compressed volumes)[72],No,No,No,Yes (Linux)
FAT16 / FAT16 / FAT16,Partial (only inside of compressed volumes)[71],Partial (only inside of Stacker 3/Stacker 3 and Stacker 3 compressed volumesStacker 3),No,Partial (only inside of compressed volumes)[72],No,No,No,Yes (Linux)
FAT32 / FAT32,No,No,No,No,No,No,No,Yes (Linux)
Global File System,Yes,No,Partial[cj],No,No,No,?,Yes
High Performance File System,No,No,No,Yes,No,No,?,No
NTFS,Yes,Partial,No,Yes,No,No,?,Yes (NT 6.1 + newer)
HFS Plus,No,No,No,Yes,No,No,?,Yes (macOS)
Berkeley Fast File System,Yes,8:1[ck],No,No,No,No,?,No
UFS1 (file system),Yes,8:1[ck],No,No,No,No,?,No
UFS2 (file system),Yes,8:1[ck],No,No,Yes,No,?,Yes[73][74]
Log-structured File System (BSD),Yes,8:1[ck],No,No,No,No,Yes,?
Extended file system,Yes,No,No,No,No,No,No,No
Xiafs,Yes,No,No,No,No,No,?,?
Ext2,Yes,No[cl],No,No,No,No,No,Yes
Ext3,Yes,No[cl],No,No,No,No,No,Yes
Ext4,Yes,No[cl],No,Yes,No,Yes,No,Yes
NOVA (filesystem),Yes,No,No,Yes,No,No,Yes,?
F2FS,Yes,No,No,Partial[cm],No,Yes,Yes,Yes[75]
Lustre (file system),Yes,No,No,Yes,No,Yes,?,?
NILFS,Yes,No,No,No,No,Yes,Yes,?
ReiserFS,Yes,Yes[cn],Yes,No,No,No,?,?
Reiser4,Yes,Yes[cn],Yes,Yes[co],No,Yes,?,?
OCFS,?,No,No,Yes,No,No,?,?
OCFS2,Yes,No,No,Yes,No,No,?,?
XFS,Yes,No,No,Yes,No,Yes," Yes, on request[76] ",Yes (Linux)
JFS (file system),Yes,Yes,No,Yes,No,No,?,Yes (Linux)
QFS,?,Yes,No,No,No,No,?,?
Be File System,?,No,No,Yes,No,No,?,Yes (Haiku (operating system))
Novell Storage Services,?,No,No,Yes,No,Yes,?,?
NetWare File System,?,Yes[cp],No,No,No,No,?,?
ODS-5,?,No,No,Yes,No,No,?,?
Veritas File System,Yes,?,No,Yes,No,No,?,?
Universal Disk Format,Yes,No,No,Yes,No,?[cq]," Yes, for Write once read many media ",No
Fossil (file system),?,No,No,No,No,No,?,?
ZFS,Yes,Yes,No,No,Yes,Yes,Yes," Yes (FreeBSD, illumos) "
Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
VMFS2,Yes,Yes,No,No,No,No,?,?
VMFS3,Yes,Yes,No,No,No,No,?,?
ReFS,Yes,?,?,?,No,?,Yes,?
ISO 9660,No,No,No,Yes[cr],No,No,No,No
Rock Ridge,No,No,No,Yes[cr],No,No,No,No
Joliet (file system),No,No,No,Yes[cr],No,No,No,No
SquashFS,Yes,No,Yes,No,No,No,No,No
File system,Sparse file,Block suballocation,Tail packing,Extent (file systems),Variable file block size[ci],Allocate-on-flush,Copy on write,Trim (computing) support
