,PHP,Perl,Python (programming language),Ruby (programming language),JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell (programming language)
Ddoc,No,No,No,No,No,No,No,No,No,No
Document! X,No,No,No,No,No,No,Yes,No,No,No
Doxygen,Yes,No[b],Partial[c],No,No,No,No,No,Yes,No
Epydoc,No,No,Yes,No,No,No,No,No,No,No
Haddock (software),No,No,No,No,No,No,No,No,No,Yes
HeaderDoc,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Imagix 4D,No,No,No,No,No,No,No,No,No,No
Javadoc,No,No,No,No,No,No,No,No,No,No
JSDoc,No,No,No,No,Yes,No,No,No,No,No
JSDoc,No,No,No,No,Yes,No,No,No,No,No
Natural Docs,Partial,Yes,Partial,Partial,Partial,Yes,Partial,No,Partial,No
NDoc,No,No,No,No,No,No,No,No,No,No
Pdoc,No,No,Yes,No,No,No,No,No,No,No
Plain Old Documentation,No,Yes,No,No,No,No,No,No,No,No
PhpDocumentor,Yes,No,No,No,No,No,No,No,No,No
Pydoc,No,No,Yes,No,No,No,No,No,No,No
RDoc,No,No,No,Yes,No,No,No,No,No,No
ROBODoc,Yes,Yes,No,Yes,Yes,Partial,Yes,No,Yes,No
Sphinx (documentation generator),with Plugin,No,Yes,with Plugin,Yes,No,No,No,No,No
Visual Expert,No,No,No,No,No,No,Yes [4],Yes [5],No,No
VSdocman,No,No,No,No,No,No,No,No,No,No
YARD (software),No,No,No,Yes,No,No,No,No,No,No
,PHP,Perl,Python,Ruby,JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell
