Word processor,Apple Inc.,Atari,CP/M,CPT Word Processors,Commodore 64,Hewlett-Packard,IBM Personal Computer,Kaypro,Macintosh,Morrow Designs,IBM PCjr,Rainbow 100,TI Professional,Tandy Corporation,ZX Spectrum
Tasword,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Homeword (page does not exist)," II, IIc,IIe",800,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
MacWrite,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Pfs:Write," II, IIc,IIe",No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
AtariWriter,No," 800XL, 1200",No,No,No,No,No,No,No,No,No,No,No,No,No
OMNIWRITER,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Word Juggler," II,IIe,III",No,No,No,No,No,No,No,No,No,No,No,No,No,No
PC-Write,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Wordvision (page does not exist),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
VolksWriter,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Perfect Writer,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No
Plu Perfect (page does not exist),No,No,No,No,No,No,No," 2,4,10",No,Yes,No,No,No,No,No
Wordstar," II,IIe",No,Yes,No,No," 110,150",Yes,Yes,No,Yes,Yes,Yes,Yes,TRS-80,No
Newword (page does not exist),IIe,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
Appleworks," II, IIe",No,No,No,No,No,No,No,No,No,No,No,No,No,No
AppleWriter," II, IIe, III",No,No,No,No,No,No,No,No,No,No,No,No,No,No
III E-Z Pieces (page does not exist),III,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lotus Symphony (DOS),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Framework (office suite),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
XyWrite,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
WordPerfect,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Tandy 2000,No
Microsoft Word,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Tandy 2000,No
CPT Word Processors,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
