GIS software,Free software,Open-source software,Microsoft Windows,Mac OS X,Linux,Berkeley Software Distribution,Unix,Web,Other
ArcGIS,Viewer(s),No,Yes,Yes,No,No,Yes,Yes," Google Earth, Google Earth, Google Earth "
Autodesk,Viewer(s),No,Yes,No,Yes,No,No,Yes,No
Cadcorp,Viewer(s),No,Yes,No,No,No,No,Yes,No
Capaware,Yes,Yes,Yes,No,No,No,No,No,No
Chameleon (GIS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,LAMP (software bundle),No
Deegree,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),Yes,No
Erdas Imagine,Viewers &amp; Plug-ins,No,Yes,No,No,No,No,Yes,No
GeoBase (Telogis GIS software) - Telogis,Trial,No,Yes,No,Yes,Yes,No,Yes," Traffic, Web Map Service, ADAS, Routing "
GeoNetwork opensource,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),Yes,No
GeoServer,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No
GeoTools,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
GRASS GIS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,via pyWPS[1],No
GvSIG,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
IDRISI,No,No,Yes,No,No,No,No,No,No
ILWIS,Yes,Yes,Yes,No,No,No,No,No,No
Hexagon Geospatial,Viewer(s),No,Yes,No,No,No,CLIX,Yes,Keyhole Markup Language
JUMP GIS,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
Kosmo,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
LandSerf,No,No,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
MapDotNet,No,No,Yes,No,No,No,No,Yes
Manifold System,No,No,Yes,No,No,No,No,Yes,No
Microsoft MapPoint,Discontinued,No,Yes,No,No,No,No,Yes,No
MapInfo Professional,Viewer(s),No,Yes,No,No,No,Yes,Yes,No
MapServer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LAMP (software bundle),No
Maptitude Caliper software,No,No,Yes,No,No,No,No,Yes,No
MapWindow GIS,Yes,Yes,Yes,No,No,No,No,No,No
Oracle Spatial,No,No,Yes,Yes,Yes,No,Yes,Yes,No
PostGIS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
QGIS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," Google Earth, Google Earth, Google Earth "
RegioGraph,No,No,Yes,No,No,No,No,No,No
RemoteView,No,No,Yes,No,No,No,No,No,No
SAGA GIS,Yes,Yes,Yes,Yes,Yes,Yes,No,No,KLM
SAP HANA,Free Trial,No,No,No,Yes,No,No,Yes,No
Smallworld,No,Yes,Yes,No,Yes,No,Yes,Read-only," OLE, XML, Multiuser, Utility Data Model, Data Translator export/import "
SPRING,Yes,Yes,Yes,No,Yes,No,Solaris (operating system),No,No
TerraLib TerraLib,Yes,Yes,Yes,No,Yes,No,No,No,No
TNTmips,Viewer(s),No,Yes,Yes,Yes,No,Yes,No,No
TransModeler Caliper Software,No,No,Yes,No,No,No,No,No,No
UDIG,Yes,Yes,Java (Sun),Java (Sun),Java (Sun),Java (Sun),Java (Sun),No,No
GIS software,Free software,Open source,Windows,Mac OS X,Linux,BSD,Unix,Web,Other
