Framework,Internet Explorer,Mozilla Firefox,Safari (web browser),Opera (web browser),Chromium (software),Microsoft Edge
AngularJS (1.3),8+ (9+),4+,5+,11+,30+,
Apache Royale,9 (Edge --> 10),21,6,15,23,
Dojo Toolkit,6+,3+[164],4[164],10.50+[164],3[164],
Ember.js,6+,3+,4+,10.6+,14+,
Enyo (software),8+[165],>4[165],>5[165],,>10[165],
Ext (JavaScript library),6+,3.6+,4+,11+,10+[166],
Google Web Toolkit,8+,1+,5+,9+,1+,
JQuery (3.x),6+ (9+)[167],2+[167],3+[167],9+[167],1+[167],
JQWidgets,7+[168],2+[168],3+[168],9+[168],1+[168],
MooTools,6+,2+,3+,9+,1+,
Prototype JavaScript Framework &amp; Prototype JavaScript FrameworkPrototype JavaScript Framework,6+,1.5+,2.0.4+,9.25+,1+ (starting with 1.6.1RC3),
Qooxdoo,6+,2+,3+,9+,2+,
SproutCore,6+,3+,4+,9+,1+,
Svelte,,21+,6+,15+,23+,12+
Vue.js,10+,21+,6+,15+,23+,12+
Wakanda (software),9+,4+,5+,,11+,
ZK Framework,6+,2.0+,3+,9+,2+,
Webix,8+[169],3+[169],4+[169],9+[169],1+[169],
