Manager,Download Podcasting,Rebuild iPod Database,Portable application,IPod Firmware,IPod Firmware,IPod Firmware,IPod touch/ IPod touch support,Photo support,Supports Gapless playback Gapless playback
Amarok (audio),Yes,Yes,?,Yes,?,No,Yes4,?,?
Banshee (music player),Yes,Yes,?,No,Yes,Yes,Yes,?,?
Clementine (software),Yes,No,?,No,No,?,Yes,?,?
EphPod,No,Yes,?,?,No,No,No,No,No
Gtkpod,No,?,?,Yes2,Yes4,Yes4," Yes, jailbroken only ",?,Yes
IRip,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ITunes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
JRiver Media Center,Yes,?,?,?,?,?,?,?,?
MediaMonkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Rhythmbox,Yes,?,?,?,Yes,No,Yes4,No,No
Senuti,No,?,?,?,?,?,Yes,?,?
Winamp native,Yes,?,?,?,?,?,?,?,Yes
XPlay,No,Yes,No,?,?,?,?,Yes,?
Manager,Download Podcasting,Rebuild iPod Database,Portable application,IPod Firmware,IPod Firmware,IPod Firmware,IPod touch/IPod touch support,Photo support,Supports Gapless playback Gapless playback
