,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Interface EventTarget,,,,,,,
DOM2,addEventListener(),5.0[t 6],No,1.0,Yes,Yes,1.0
,removeEventListener(),,,,,,
,dispatchEvent(),,,,?,?,
Interface EventListener,,,,,,,
DOM2,handleEvent(),?,?,?,?,?,1.0
Interface Event,,,,,,,
DOM2,type,4.0,Yes,1.0,?,?,1.0
,target,No,,1.3,Incorrect,?,
,currentTarget,,No,1.0,?,?,
,eventPhase,,,,?,?,
,bubbles,,,,?,?,
,cancelable,,,,?,?,
,timeStamp,,,Yes,?,?,
,stopPropagation(),,,1.0,?,?,
,preventDefault(),,,,?,?,
,initEvent(),,,,?,?,
Exception EventException,,,,,,,
DOM2,code,No,No,1.0,?,?,1.0
Interface DocumentEvent,,,,,,,
DOM2,createEvent(),No,No,1.0,?,?,1.0
Interface UIEvent,,,,,,,
DOM2,view,No,No,No[g 10],?,?,1.0
,detail,,,,?,?,
,initUIEvent(),,,,?,?,
Events for interface UIEvent,,,,,,,
DOM2,DOMFocusIn,No,No,No[g 10],?,?,1.0
,DOMFocusOut,,,,?,?,
,DOMActivate,,,,?,?,
Interface MouseEvent,,,,,,,
DOM2,screenX,4.0,Yes,1.0,Yes,?,1.0
,screenY,,,,,?,
,clientX,,,,Incorrect,?,
,clientY,,,,Incorrect,?,
,ctrlKey,,,,Yes,?,
,shiftKey,,,,,?,
,altKey,,,,,?,
,metaKey,,,,,No,,No,?
,button,Incorrect,Incorrect,Incorrect,?,1.0
,relatedTarget,No,No,Yes,?,1.0
,initMouseEvent(),?,?,?,?,
Events for interface MouseEvent,,,,,,,
DOM2,click,4.0,Yes,1.0,?,?,1.0
,mousedown,,,,?,?,
,mouseup,,,,?,?,
,mouseover,,,,?,?,
,mousemove,,,,?,?,
,mouseout,,,,?,?,
Interface MutationEvent,,,,,,,
DOM2,relatedNode,No,No,1.0,?,?,1.0
,prevValue,,,,?,?,
,newValue,,,,?,?,
,attrName,,,,?,?,
,attrChange,,,,?,?,
,initMutationEvent,,,,?,?,
Events for interface MutationEvent,,,,,,,
DOM2,DOMSubtreeModified,5.0[t 7],No,1.9,Yes,Partial,No
,DOMNodeInserted,,,1.0,,No,1.0
,DOMNodeRemoved,,,,,,
,DOMNodeRemovedFromDocument,No[g 11],
,DOMNodeInsertedIntoDocument,,Yes
,DOMAttrModified,1.0,No,No,
,DOMCharacterDataModified,,Yes,
Events for HTML,,,,,,,,
DOM2,load,4.0,Yes,1.0,?,?,,2.0
,unload,,,,?,?,,
,abort,,,,?,?,No
,error,,,,?,?,2.0
,select,,,,?,?,
,change,,,,?,?,
,submit,,,,?,?,
,reset,,,,?,?,
,focus,,,,?,?,
,blur,,,,?,?,
,resize,,,,?,?,
,scroll,,,,?,?,
