Name,Microsoft Windows,Mac OS X,Linux,Unix,Berkeley Software Distribution,Other
3ds Max,Yes,No,No,No,No,No
AC3D,Yes,Yes,Yes,No,No,No
Art of Illusion (software),Yes,Yes,Yes,Yes,No,Java
AutoCAD,Yes,No,No,No,No,No
Blender (software),Yes,Yes,Yes,Yes,Yes," Solaris (operating system), Solaris (operating system), Solaris (operating system) "
Carrara,Yes,Yes,No,No,No,No
Cheetah 3D,No,Yes,No,No,No,No
Cinema 4D,Yes,Yes,No,No,No,Amiga OS
Clara.io,Yes,Yes,Yes,Yes,Yes," Chrome OS, Chrome OS "
DesignSpark Mechanical,Yes,No,No,No,No,No
Electric Image Animation System,Yes,Yes,No,No,No,No
Form-Z,Yes,Yes,No,No,No,No
HiCAD,Yes,No,No,No,No,No
Houdini (software),Yes,Yes,Yes,No,No,No
IClone,Yes,No,No,No,No,No
LightWave 3D,Yes,Yes,No,No,No,AmigaOS
MakeHuman,Yes,Yes,Yes,No,No,No
Massive (software),Yes,No,Yes,No,No,No
Maya (software),Yes,Yes,Yes,No,No,No
Metasequoia (software),Yes,No,No,No,No,No
Modo (software),Yes,Yes,Yes,No,No,No
POV-Ray,Yes,Yes,Yes,No,No," Amiga OS, Amiga OS "
Remo 3D,Yes,No,Yes,No,No,No
Shade 3D,Yes,Yes,No,No,No,No
Silo (software),Yes,Yes,Yes,No,No,No
SketchUp Make,Yes,Yes,No,No,No,No
SketchUp Pro,Yes,Yes,No,No,No,No
Autodesk Softimage,Yes,No,Yes,No,No,No
Solid Edge,Yes,No,No,No,No,No
SolidThinking,Yes,Yes,No,No,No,No
SolidWorks,Yes,No,No,No,No,No
SpaceClaim,Yes,No,No,No,No,No
TrueSpace,Yes,No,No,No,No,Amiga OS
Verto Studio 3D,No,Yes,No,No,No,IOS
E-on Vue,Yes,Yes,No,No,No,No
Wings 3D,Yes,Yes,Yes,No,No,No
ZBrush,Yes,Yes,No,No,No,No
