, Max DB size, Max table size, Max row size, Max columns per row, Max Blob/Clob size, Max CHAR size, Max NUMBER size, Min DATE value, Max DATE value, Max column name size
4th Dimension, Limited, ?, ?, 65135, 200 GB (2 GiB Unicode), 200 GB (2 GiB Unicode), 64 bits, ?, ?, ?
Advantage Database Server, Unlimited, 16 EiB, 65530 B, 65135 / (10+ AvgFieldNameLength), 4 GiB, ?, 64 bits, ?, ?, 128
Apache Derby, Unlimited, Unlimited, Unlimited, 1012 (5000 in views), 2147483647 chars, 254 (VARCHAR: 32672), 64 bits, 0001-01-01, 9999-12-31, 128
ClustrixDB, Unlimited, Unlimited, 64 MB on Appliance 4 MB on AWS, ?, 64 MB, 64 MB, 64 MB, 0001-01-01, 9999-12-31, 254
CUBRID, 2 EB, 2 EB, Unlimited, Unlimited, Unlimited, 1 GB, 64 bits, 0001-01-01, 9999-12-31, 254
DB2, Unlimited, 2 ZB, 1048319 B, 1012, 2 GB, 32 KiB, 64 bits, 0001-01-01, 9999-12-31, 128
Empress Embedded Database, Unlimited, 263-1 bytes, 2 GB, 32767, 2 GB, 2 GB, 64 bits, 0000-01-01, 9999-12-31, 32
EXASolution, Unlimited, Unlimited, Unlimited, 10000, N/A, 2 MB, 128 bits, 0001-01-01, 9999-12-31, 256
FileMaker, 8 TB, 8 TB, 8 TB, 256000000, 4 GB, 10000000, 1 billion characters 10^-400 to 10^400 +-, 0001-01-01, 4000-12-31, 100
Firebird, Unlimited1, ~32 TB, 65536 B, Depends on data types used, 32 GB, 32767 B, 64 bits, 100, 32768, 31
HSQLDB, 64 TB, Unlimited8, Unlimited8, Unlimited8, 64 TB7, Unlimited8, Unlimited8, 0001-01-01, 9999-12-31, 128
H2, 64 TB, Unlimited8, Unlimited8, Unlimited8, 64 TB7, Unlimited8, 64 bits, -99999999, 99999999, Unlimited8
Informix Dynamic Server, ~128 PB12, ~128 PB12, 32765 bytes (exclusive of large objects), 32765, 4 TB, 32765, 1032, 01/01/000110, 12/31/9999, 128 bytes
Ingres, Unlimited, Unlimited, 256 KB, 1024, 2 GB, 32 000 B, 64 bits, 0001, 9999, 256
InterBase, Unlimited1, ~32 TB, 65536 B, Depends on data types used, 2 GB, 32767 B, 64 bits, 100, 32768, 31
Linter SQL RDBMS, Unlimited, 230 rows, 64 KB (w/o BLOBs) 2GB (each BLOB value), 250, 2 GB, 4000 B, 64 bits, 0001-01-01, 9999-12-31, 66
MariaDB, Unlimited, MyISAM storage limits: 256 TB; Innodb storage limits: 64 TB; Aria storage limits: ???, 64 KB3, 40964, 4 GB (longtext longblob), 64 KB (text), 64 bits, 1000, 9999, 64[68]
Microsoft Access (JET), 2 GB, 2 GB, 16 MB, 255, 64 KB (memo field) 1 GB ("OLE Object" field), 255 B (text field), 32 bits, 0100, 9999, 64
Microsoft Visual Foxpro, Unlimited, 2 GB, 65500 B, 255, 2 GB, 16 MB, 32 bits, 0001, 9999, 10
Microsoft SQL Server, 524272 TB (32 767 files * 16 TB max file size) 16ZB per instance, 524272 TB, 8060 bytes/2TB6, 1024/30000(with sparse columns), 2 GB/Unlimited (using RBS/FILESTREAM object), 2 GB6, 126 bits2, 0001, 9999, 128
