OLAP server, # cubes, # measures, # dimensions, # dimensions in cube, # hierarchies in dimension, # levels in hierarchy, # dimension members
Apache Kylin, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted
ClickHouse, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted
Druid, Unrestricted[a], Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted
Essbase[35], Unrestricted, Unrestricted, Unrestricted, 255, 255, ?, 20000000 (ASO) 1000000 (BSO)
IBM Cognos TM1, Unrestricted[a], Unrestricted, Unrestricted[a], 256, Unrestricted[a], Unrestricted, Unrestricted
icCube, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647
Jedox OLAP Server, 2 32 {\displaystyle 2^{32}} IMG (32 bits), 2 32 {\displaystyle 2^{32}} IMG, 2 32 {\displaystyle 2^{32}} IMG (32 bits), 250, 2 32 {\displaystyle 2^{32}} IMG, 2 32 {\displaystyle 2^{32}} IMG, 2 32 {\displaystyle 2^{32}} DEBUTIMAGE
Kyvos, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted, Unrestricted
Microsoft Analysis Services[36], 2147483647, 2147483647, 2147483647, 2147483647 (max. number of dimensions in a database), 2147483647, 2147483647, 2147483647 (xOLAP) Unrestricted (In-memory)
MicroStrategy Intelligence Server, Unrestricted[a], Unrestricted[a], Unrestricted[a], ?, Unrestricted[a], Unrestricted[a], Unrestricted[a]
SAS OLAP Server[37], Unrestricted[a], 1024, 128, ?, 128, 19, 4294967296
