Client,Microsoft Windows,MacOS,Linux,BSD,Unix,AmigaOS,ChromeOS
AbsoluteTelnet,Yes,No,No,No,No,No,No
ALFTP,Yes,No,No,No,No,No,No
Beyond Compare,Yes,Yes,Yes,No,No,No,No
Classic FTP,Yes,Yes,No,No,No,No,No
Codeanywhere (webbased),Yes,Yes,Yes,Yes,Yes,Yes,Yes
Commander One,No,Yes,No,No,No,No,No
CoreFTP,Yes,No,No,No,No,No,No
CrossFTP,Yes,Yes,Yes,Yes,Yes,Yes,No
CURL (CL),Yes,Yes,Yes,Yes,Yes,Yes,No
CuteFTP,Yes,Yes,No,No,No,No,No
Cyberduck,Yes,Yes,No,No,No,No,No
Directory Opus,Yes,No,No,No,No,Yes,No
ExpanDrive,Yes,Yes,No,No,No,No,No
FAR Manager,Yes,No,No,No,No,No,No
Fetch (FTP client),No,Yes,No,No,No,No,No
FileZilla,Yes,Yes,Yes,Yes,Yes,No,No
FireFTP,Yes,Yes,Yes,Yes,Yes,No,No
FlashFXP,Yes,No,No,No,No,No,No
Fling FTP,Yes,No,No,No,No,No,No
ForkLift (File Manager),No,Yes,No,No,No,No,No
FTP Client,No,Yes,No,No,No,No,No
FTP Commander,Yes,No,No,No,No,No,No
FTP Explorer,Yes,No,No,No,No,No,No
FTP Voyager,Yes,No,No,No,No,No,No
Fugu (software),No,Yes,No,No,No,No,No
GFTP,No,Yes,Yes,Yes,Yes,No,No
Interarchy,No,Yes,No,No,No,No,No
LeechFTP,Yes,No,No,No,No,No,No
Lftp (CL),Yes (Cygwin),Yes,Yes,Yes,Yes,No,No
Macfusion,No,Yes,No,No,No,No,No
Mosaic (web browser),Yes,Yes,No,No,Yes,Yes,No
NcFTP (CL),Yes,Yes,Yes,Yes,Yes,Yes,No
Net2ftp (web-based),Yes,Yes,Yes,Yes,Yes,Yes,No
PbFtpClient,Yes,No,No,No,No,Yes,No
PSFTP (PuTTY) (CL),Yes,No,Yes,Yes,Yes,No,No
Secure FTP (software),Yes,Yes,Yes,Yes,Yes,Yes,No
SmartFTP,Yes,No,No,No,No,No,No
Steed (FTP client),Yes,No,No,No,No,No,No
Sysax FTP Automation,Yes,No,No,No,No,No,No
Total Commander,Yes,No,No,No,No,No,No
Tnftp (CL),Yes (Cygwin),Yes,Yes,Yes,Yes,No,Yes
Transmit (FTP client),No,Yes,No,No,No,No,No
WebDrive,Yes,Yes,No,No,No,No,No
WinSCP,Yes,No,No,No,No,No,No
WISE-FTP,Yes,No,No,No,No,No,No
WS FTP,Yes,No,No,No,No,No,No
Yummy FTP,No,Yes,No,No,No,No,No
Client,Microsoft Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,ChromeOS
