Model,Processor,Memory,Display,Input method,Stack,Programming languages,Computer algebra system,Character set,Connectivity,Power supply,Release year,Predecessors,Successors
HP Prime G2 HP Prime G2 (2AP18AA)," 528 MHz NXP NXP NXP (NXP core, NXP architecture) "," 256 MB RAM, 512 MB flash ",320×240 pixel 16-bit color Multi-touch Multi-touch with Multi-touch," Algebraic input, Algebraic input ",Fixed (128-level RPN),HP PPL,Xcas/Xcas-based,Unicode,USB (USB) USB," USB-rechargeable 3.7V/2000mAh/7.4Wh Li-Ion, USB ",2018,HP Prime G1,None
" HP Prime G1 HP Prime G1 (NW280AA, G8X92AA) "," 400 MHz Samsung Samsung (Samsung core, Samsung architecture) "," 32 MB RAM, 256 MB flash ",320×240 pixel 16-bit color Multi-touch Multi-touch with Multi-touch," Algebraic input, Algebraic input ",Fixed (128-level RPN),HP PPL,Xcas/Xcas-based,Unicode,USB (USB) (USB only with G8X92AA model)," USB-rechargeable 3.7V/1500mAh/5.55Wh Li-Ion (compatible: Li-Ion 2200mAh), USB ",2013," HP 39gII, (HP 39gII) ",HP Prime G2
" HP 50g HP 50g (F2229A, NW240AA) "," 75 MHz (203 MHz) Samsung SamsungSamsung (Samsung core, Samsung architecture) "," 512 KB RAM, 2 MB flash, expandable via 2 GB SD card ",131×80 pixel monochrome LCD," Entry RPN, Entry RPN ",Dynamic," RPL (programming language), RPL (programming language) ",Erable-based,8-bit RPL character set (with RPL character setRPL character setRPL character setRPL character set)," USB (USB), USB, 1×4-pin 3.3V TTL serial (USB via active converter) "," 4×1.5V (6V) AAA battery, 1×3V AAA battery, USB ",2006–2015[5][6][7],Hp 49g+,(HP Prime)
Hp 49g+ Hp 49g+ (F2228A)," 75 MHz (203 MHz) Samsung Samsung (Samsung core, Samsung architecture) "," 512 KB RAM, 2 MB flash, expandable via 2 GB SD card ",131×80 pixel monochrome LCD," Entry RPN, Entry RPN ",Dynamic," RPL (programming language), RPL (programming language) ",Erable-based,8-bit RPL character set (with RPL character setRPL character setRPL character setRPL character set)," USB (Mini-B), USB "," 3×1.5V (4.5V) AAA battery, 1×3V AAA battery ",2003–2006,HP 49G,HP 50g
HP 48gII HP 48gII (F2226A)," 48 MHz (203 MHz) Samsung Samsung (Samsung core, Samsung architecture) "," 128 KB RAM (256 KB RAM - 2007 model only), not flashable ",131×64 pixel monochrome LCD," Entry RPN, Entry RPN ",Dynamic," RPL (programming language), RPL (programming language) ",Erable-based,8-bit RPL character set (with RPL character setRPL character setRPL character set)," (USB (Mini-B) - 2007 model only), USB, 1×4-pin 3.3V TTL serial (USB via active converter) "," 3×1.5V (4.5V) AAA battery (4×1.5V (6V) AAA - 2007 model only), 1×3V AAA battery, USB (2007 model only) ",2003,HP 48G+,HP 49g+
" HP 49G HP 49G (F1633A, F1896A) ",4 MHz HP Yorke (HP Yorke HP Yorke core)," 512 KB RAM, 2 MB flash ",131×64 pixel monochrome LCD," Entry RPN, Entry RPN ",Dynamic," RPL (programming language), RPL (programming language) ",Erable-based,8-bit RPL character set (with RPL character setRPL character setRPL character set),2×5-pin RS-232,3×1.5V (4.5V) AAA battery,1999–2003," HP 48GX, HP 48GX ",Hp 49g+
" HP 48G+ (F1630A, F1894A) ",4 MHz HP Yorke (HP Yorke HP Yorke core)," 128 KB RAM, not flashable ",131×64 pixel monochrome LCD,Entry RPN,Dynamic,RPL (programming language),Rudimentary[8],8-bit RPL character setRPL character setRPL character set," 1×4-pin RS-232, RS-232 ",3×1.5V (4.5V) AAA battery,1998–2003[11],HP 48G,HP 49G
HP 48G HP 48G,3.68-4 MHz HP Yorke (HP Yorke HP Yorke core)," 32 KB RAM, not flashable ",131×64 pixel monochrome LCD,Entry RPN,Dynamic,RPL (programming language),Rudimentary[8],8-bit RPL character setRPL character setRPL character set," 1×4-pin RS-232, RS-232 ",3×1.5V (4.5V) AAA battery,1993–2003[11],HP 48S," HP 48G+, HP 48G+ "
HP 48GX HP 48GX (F1895A),4 MHz HP Yorke (HP Yorke HP Yorke core)," 128 KB RAM, expandable via 128 KB and 4 MB max. card slots, not flashable ",131×64 pixel monochrome LCD,Entry RPN,Dynamic,RPL (programming language),Rudimentary[8],8-bit RPL character setRPL character setRPL character set," 1×4-pin RS-232, RS-232 ",3×1.5V (4.5V) AAA battery,1993–2003[11],HP 48SX,HP 49G
HP 48S,2 MHz HP Clarke (HP Clarke HP Clarke core)," 32 KB RAM, not flashable ",131×64 pixel monochrome LCD,Entry RPN,Dynamic,RPL (programming language),Rudimentary[8],8-bit RPL character set," 1×4-pin RS-232, RS-232 ",3×1.5V (4.5V) AAA battery,1991–1993[11],HP-28S,HP 48G
