Tag,Function,Introduced by,Alternative solution,Trident (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
bgsound,Used to add sound to the background of a website,Internet Explorer,audio,<3.1[IE 3.0],No,No,No,Dropped[11]
Blink element,Used to display a blinking text,Netscape," Javascript, CSS ",No,Dropped[12],Yes,No,1.0
bq,Used to display a Blockquote," WebTV, HTML 3.0",blockquote,No,No,No,No,Dropped[13]
comment,Used to allow the addition of comments to HTML documents," Internet Explorer, WebTV",<!-- ... -->,3.1,No,No,No,No
Layer element,Inline layers,Netscape (4 only),iframe,No,No,No,Partial,No
image,Synonym of img,?,img,3.1,Yes,Yes,Yes,Yes
Layer element,Used to create multiple layers of text and images which lay on top of each other in a given order,Netscape (4 only)," CSS, Ajax (programming) ",No,No,No,Partial,No
Marquee element," Used to display a scrolling, marquee-like text."," Internet Explorer, WebTV"," JavaScript, CSS3 ",3.1,1.7,125,3.3,1.0
nobr,Prevents any line breaks from occurring within the flow of a text,Netscape[14][15],CSS,3.1,Yes,Yes,Yes,Yes
noembed,Displays an alternative text for browsers which do not recognize the embed tag,Netscape,Child elements of object used as fallback,,,,,
spacer,Adds whitespace in a layout,Netscape,CSS,No,Dropped[16],No,No,No
wbr,Placed inside a nobr element to add a line break,Netscape[14][15],Unicode character Zero-width space (Zero-width space200B),Dropped[note 10],1.7,Yes,3.1,No
xml[18]," Includes XML data, either inline or from an URL, in an HTML page",Internet Explorer," AJAX, possibly AJAX ",3.1,No,No,No,No
