Software,Type,Version,Operating systems,Developer,Software license,FDA cleared,Supported Devices
BetterFly,Neurofeedback,Clinic 2.0; Home 2.0,Windows,BetterFly Neurofeedback,Proprietary software,Classification by device," GENIUS, U-WIZ, PocketNeurobics PendantEEG "
BioEra,Biofeedback: visual designer,2.0," Microsoft Windows, Microsoft Windows ",PROATECH LLC,Proprietary software,No (but basis of Cygnet and others)," Pocket Neurobics,[1] BrainQuiry,[2] NeuroAmp,[3] Neurobit Optima, Neurobit Optima+,   Brainmaster,[4] QDS[2] "
BioExplorer,Neurofeedback,1.5,Microsoft Windows," Cyberevolution, Larry Janow ",Proprietary software," No ""Intended for personal use..."" "," Brainmaster,NeuroSky BrainQuiry,NeuroSky NeuroAmp,NeuroSky Neurobit Optima, Neurobit Optima+,   J&amp;J,NeuroSky NeuroSky,NeuroSky Pocket Neurobics,NeuroSky QDS,NeuroSky Telediagnostic SystemsNeuroSky "
BioGraph Infiniti,Neurofeedback/Neurofeedback,6.1.0,Microsoft Windows," Thought Technology Ltd, Dr. Hal Myers ",Proprietary software,Yes,Thought Technology[4]
BioTrace+," Neurofeedback, Neurofeedback, QEEG ",2015,Microsoft Windows,Mind Media B.V.,Proprietary software,Medical class II," NeXus by Mind Media[2] 4, 10 (MKII), 32 "
Brainathalon,Game,?,Java,Amy Palke,Open-source software,No,
BrainBay," Neurofeedback: MIDI, particle display ",?,Microsoft Windows,Chris Veigl and Jeremy Wilkerson,GPL,No," Neurobit Optima, Neurobit Optima+ and more  "
BrainFeedback Pro,Neurofeedback,v12,Microsoft Windows,Deymed Diagnostic,Proprietary software,Yes,Deymed
BrainMaster," Neurofeedback, Neurofeedback, and QEEG; optional live z-scores (ANI or BrainDX), Live sLORETA Projector. "," various including BrainAvatar. Third-party SW includes: NeuroGuide, BioExplorer, BioERA, BrainPaint, SKIL, LENS, EEGer, BrainTrain, OpenVibe, EEGStudio ",Microsoft Windows," BrainMaster Technologies, Inc. Thomas F. Collura ",Proprietary software," FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe "," Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery, MINI-Q "
BrainPaint®," Evidence Based Neurofeedback, with a validatedNeurofeedback and replicatedNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedbackNeurofeedback  symptom based evaluation tool. "," 2.0   Includes BrainPrint™, Alpha Theta, Brain-Heart Coherence, Couples Synchrony, Nonlinear, Slow Cortical Potential, Coherence training and all other frequency rewards and inhibits. ",N/A," BrainPaint, Inc. William C. Scott ",Proprietary software," FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe "," Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery "
BWView,Brainwave viewer,1.0.5," Linux, Linux ",Jim Peters,GPL,No,
