,Imports,,,,Exports,,,,
,3D,3D game,CAD and GIS,Web and mobile[io 1],3D,3D game,3D renderers,CAD and GIS,Web and mobile[io 1]
3ds Max," FBX, FBX, PRJ, ABC, AI, FBX, HTR, FBX, SHP, SKP, STL, TRC, VRML ",Openflight FLT," DEM, XML, DDF, .dwg, .dwg, IGE, IGS, IGES, IPT, WIRE, IAM, LS, VW, LP, SAT, Catia V4/V5, JT, ProE, RVT, PRT, SolidWorks.dwg, STEP, WIRE ",," FBX, FBX, AI, ASE, COLLADA, HTR, OBJ, STL ",Openflight FLT,," ATR, BLK, DF, .dwg, .dwg, IGS, LAY, LP, SAT, VW "," Mobile 3D Graphics API, VRML97 "
AC3D," 3DS, AC3D, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, OFF, Pointfield, Points, STL (ascii), Terragen, Triangle, Vector "," Quake BSP, Quake MD2, Renderware, 4x4 Evolution "," AutoCAD DXF, LDraw (Lego), SOF Airfoil ",VRML 1.0[10]," 3DS, 3D Studio ASE, AC3D, Dive, DVS, AutoCAD DXF, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, STL (ascii), Triangle "," .x, Ogre, Quake MD2, Quake Map, SMF, Unreal Tournament "," POV-Ray, Renderman "," Inventor, LDraw (Lego) "," VRML 1.0, VRML 2.0, X3D[10] "
Blender (software)," COLLADA, Alembic, FBX, BVH, PLY, OBJ, STL, SVG ",,AutoCAD DXF," X3D, glTF "," COLLADA, Alembic, FBX, BVH, PLY, OBJ, STL, SVG, PC2 ",,POV-Ray,AutoCAD DXF," X3D, glTF "
Electric Image Animation System," 3DS, FBX, OBJ, LWO, MDD ",,AutoCAD DXF,," 3DS, OBJ, LWO ",,,AutoCAD DXF,
Cinema 4D," FBX, OBJ, FBX, QD3D, STL, DEM, LWO/LWS ",,DXF," VRML 1, VRML 2 "," FBX, OBJ, FBX, QD3D, STL, W3D ",,,DXF," VRML 1, VRML 2 "
Clara.io," FBX, OBJ, Collada, MD2, MD3, MD5, FBX, STL, LWO, GEO, IRR, PLY, POV, SHP, XGL, ZGL, AC, BLEND, BVH, CSM, LWS ",X,AutoCAD DXF," VRML, Three.js "," FBX, OBJ, Collada, STL ",,,," Three.js, Babylon.js "
Cobalt (CAD program)," .3ds, .3ds, .3ds ",," ACIS, ACIS, ACIS, ACIS, CO (native), Drawing board, ACIS, Facet, Grid Surface, ACIS (IGES), Parasolid XT, ACIS, ACIS, Spline, ACIS (STEP) ",VRML," Adobe Illustrator Artwork, Adobe Illustrator Artwork, RAW Triangle ",,," ACIS, ACIS, ACIS, CO (native), Drawing board, ACIS, Facet, Grid Surface, ACIS (IGES),Parasolid XT, ACIS, ACIS, ACIS (STEP) "," Adobe Shockwave, Adobe Shockwave "
Houdini,?,,,,?,,,,
