Software,BibTeX,EndNote/EndNote/EndNote,Medline,Metadata Object Description Schema,RIS (file format),Other
Bebop,Yes,No,No,No,No,UnAPI
BibBase,Yes,No,No,No,No,none
BibDesk,Yes,No,Yes,Yes,Yes," Endnote XML, user customizable "
Biblioscape,?,?,?,?,?,?
BibSonomy,Yes,Yes,No,No,Yes,various [2]
Bibus,Yes,Yes,Yes,No,Yes,SQLite
Bookends,Yes,Yes,Yes,No,Yes,various user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,Yes," COinS, COinS "
colwiz,Yes,Yes,No,Yes,Yes," EndNote XML, CSL formatted HTML "
EndNote,Yes,Yes,Yes,No,Yes,various[16]
JabRef,Yes,Yes,No,Yes,Yes," BibTeXML, DocBook, DocBook, DocBook for DocBook, DocBook, SQL database, user-customizable "
KBibTeX,Yes,Yes,No,Depends[17],Yes," PDF, PostScript, HTML, XML, RTF "
Mendeley,Yes,Yes,No,No,Yes,Endnote XML
Paperpile,Yes,No,No,No,Yes,none
Pybliographer,Yes,Yes,Yes,No,No,Ovid Technologies
Qiqqa,Yes,No,No,No,No,none
ReadCube (now Papers),Yes,Yes,No,No,Yes,none
refbase,Yes,Yes,No,Yes,Yes," COinS, COinS for COinS, COinS XML via COinS, COinS, COinS "
RefDB,Yes,Yes,No,Yes,Yes," Search/Retrieve Web Service XML via Search/Retrieve Web Service web service, Search/Retrieve Web Service, Search/Retrieve Web Service "
Reference Manager,No,No,No,No,Yes," MEDLARS, MEDLARS, MEDLARS, Reference Manager XML, user-customizable "
Referencer,Yes,No,No,No,No,none
RefME,?,?,?,?,?,?
RefWorks,Yes,Yes,No,Yes,Yes," RIS, BibTeX, Tab delimited or XML metadata "
SciRef,No,No,No,No,Yes," Plain text, RTF "
Sente,Yes,Yes,No,No,Yes,user-customizable
Wikindx,Yes,Yes,No,Yes,Yes," COinS, RTF, HTML, ADS, Word BIB "
WizFolio,No,No,No,No,Yes,No
Zotero,Yes,Yes,as of version 4.0[18],Yes,Yes," COinS, COinS, Several COinS format standards, COinS, Wikipedia citation templates, Endnote XML, CSL JSON, Refer/BiblX, RefWorks tagged "
