Meaning,Spanish,Portuguese
mayor,alcalde  < Hisp. Ar. < Arabic alqáḍi < qāḍi [70],presidente da câmara (municipal) / prefeito  < Lat. praesidens + camara / praefēctus,
" bricklayer, stonemason",albañil  < Hisp. Ar. < Arabic albanní < bannā[71],pedreiro  < Lat. petra,
potter,alfarero  < Hisp. Ar. < Arabic alfaẖ ẖār < faẖ ẖār[72],oleiro  < Lat. ollarius,
vest,chaleco  < Alg. Ar. < Turk xileco < yelek[73],colete  < Ita. coletto,
basil,albahaca  < Hisp. Ar. < Arabic alḥabáqa < ḥabaqah[74],"  basílico, manjericão  < Lat., uncertain origin basilicum, uncertain",
bean,alubia  < Hisp. Ar. < Arabic alubía < al-lubiya اٌٍىتيا[75],feijão  < Lat.  faseolus [76],
celery,chirivía  < Hisp. Ar. alcaravea < alkarawíyya [77][78],aipo  < Lat. apium,
watermelon,sandía  < Hisp. Ar. < Arabic sindiyya ضىذيح[75],melancia  < Lat. bilancia < bilanx,
pistachio,alfóncigo  < Hisp. Ar. < Arabic fustuq[79],"  pistácio, pistacho  < Lat < Gre pistacium < pistákia[80]",
thrush,zorzal  < Hisp. Ar. < Arabic zurzál < zurzir[81],tordo  < Lat. turdus,
hobby (bird),alcotán  < Hisp. Ar. < Arabic quṭán < qaṭām[82],ógea  < uncertain origin *maybe O.Fra. hobe[83],
mackerel,jurel  < Hisp. Ar < Lat šuríl < saurus[84],cavala  < Gaulish < Celt . caballos [85],
scorpion,"  alacrán, escorpión  < His. Ar. < Arabic, Lat. al‘aqráb < aqrab, scorpīo [86]",escorpião  < Lat. scorpīo,
mercury,azogue  < His. Ar. < Arabic azzáwq < zāwūq[87],mercúrio  < Lat. Mercurius,
breast cancer,"  zaratán, cáncer de mama  < Arabic, Lat. saratan, cancer mamma [75]",cancro/câncer da mama  < Lat. cancer mamma,
robe (bath),albornoz  < Hisp. Ar. < Arabic burnús < burnūs [88],"  roupão, robe  < Gothic, Fra. rauba, robe [89]",
" hostess, stewardess",azafata  < Hisp. Ar < Arabic. assafáṭ < safáṭ[90],hospedeira (de bordo)  < Lat. hospitis [91],
" sewage (system), gutter",alcantarilla  < Hisp. Ar. < Arabic alqánṭara < qánṭarah[92],"  esgoto, goteira  < Lat. guttae [93]",
jerk,mamarracho  < Hisp. Ar < Arabic muharráǧ < muharriǧ[94],parvo  < Lat . parvulus [95],
" drunk, drunkard",borracho  < Cat < Arabic marratxa < mirrassa[96],bêbado  < Lat . bibitum,
" to crimp, to compress, to link (verb)",engarzar  < Hisp. Ar. < Arabic ḡárza< ḡarzah[97],"  engrenar, endentar, comprimir  < Lat. granum, dens, comprimere",
" to duck out, to skive off (verb)",escaquearse  < Hisp. Ar. < Arabic iššáh < šāh[98],"  escapar  < Lat. < Proto-Italic excappā < , kaput",
to save(financial) (verb),ahorrar  < Arabic. alhurr الحر[99],poupar   < Lat. palpō < palpāre,
" corner, edge",rincón  < Hisp. Ar. < Arabic rukán < rukn[100],canto  < Celtic kant[101],
" flowerbed, small garden, vegetable patch",arriate  < Hisp. Ar. < Arabic arriyáḍ <riyāḍ [102],canteiro  < Celtic kant[101],
Majorcan,mallorquí  < Lat. maiorica + Arabic gentilic suffix -iyy,Maiorquino  < Lat maiorica + -inus,
Iraqi,"  iraquí, irakí  < Arabic demonym iraqiyy عراقي[103]",Iraquiano  < Lat. + suffix Iraqi + -anus,
