Client," Windows 7, Windows 7 "," Windows XP, Windows XP ",Windows NT 4.0,Windows NT," Windows Me, Windows Me ",Windows 95,Windows 3.1x,ReactOS,OS X (Intel/PPC),Mac OS 9,Mac OS 8,System 7 (Macintosh) (PPC/68k)," BeOS, BeOS "," OS/2, OS/2 ",AmigaOS (68k)," AmigaOS 4, AmigaOS 4 (PPC) ",DOS
Bersirc,Yes,Yes,?,No,?,?,No,?,?,No,No,No,No,No,No,No,No
BitchX,Yes[Note 1],Yes[Note 1],Yes[Note 1],No,Yes[Note 1],Yes[Note 1],No,?,Yes,No,No,No,?,Yes,Yes,Yes,No
ChatZilla,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No
Colloquy (software),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
degesch,No,No,No,No,No,No,No,No,?,No,No,No,No,No,No,No,No
ERC (software),Yes,Yes,?,No,?,?,No,?,Yes,No,No,No,No,No,?,?,?
HexChat,Yes,Dropped (2.9.5),No,No,No,No,No,No,No,No,No,No,?,No,No,No,No
HydraIRC,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
IceChat,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
IRCCloud,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
IrcII,Yes[Note 1],Yes[Note 1],Yes[Note 1],No,Yes[Note 1],Yes[Note 1],No,?,Yes,No,No,No,No,No,No,?,No
IRCjr,No,Yes[Note 2],Yes[Note 2],No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ircle,No,No,No,No,No,No,No,No,Yes[Note 3],Yes,Yes,Yes,No,No,No,No,No
Irssi,Yes,Yes,Yes,No,Yes,Yes,No,?,Yes,No,No,No,Yes,Yes,?,Yes,No
jIRCii,Yes,Yes,Yes,?,Yes,Yes,No,?,Yes,Yes,Yes,?,Yes,Yes,?,Yes,No
KiwiIRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Konversation,Partial,Partial,Partial,No,Partial,Partial,No,?,Partial,No,No,No,No,No,No,No,No
KVIrc,Yes,Yes,Yes,No,Yes,No,No,Yes[47],Yes,Yes,No,No,No,Yes[48],No,No,No
LeafChat,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
LimeChat,No,No,No,No,No,No,No,No,Yes[Note 4],No,No,No,No,No,No,No,No
Linkinus,No,No,No,No,No,No,No,No,Yes[Note 3],No,No,No,No,No,No,No,No
Mibbit,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
MIRC,Yes,Yes,Yes,Partial,Yes,Yes,Partial,?,No,No,No,No,No,No,No,No,No
Nettalk (IRC client),Yes,Yes,?,No,Partial[Note 5],No,No,?,No,No,No,No,No,No,No,No,No
Opera (web browser),Yes,Yes,Dropped (10.10),No,Dropped,Dropped,Dropped,No[50],Dropped[51],Dropped,Dropped,No,Dropped,Dropped,No,No,No
PIRCH (IRC client),Yes,Yes,Yes,?,Yes,Yes,Yes,?,No,No,No,No,No,No,No,No,No
PJIRC,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Quassel IRC,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
Qwebirc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
rIRC,Yes,Yes,Yes,?,?,?,?,?,No,No,No,No,No,No,No,No,No
Rcirc,Yes,Yes,?,?,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Scrollback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Smuxi,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Snak,No,No,No,No,No,No,No,No,Yes,Yes,Yes,?,No,No,No,No,No
Visual IRC,Yes,Yes,Yes,No,Yes,Yes,No,?,No,No,No,No,No,No,No,No,No
WeeChat,Partial[Note 1],Partial[Note 1],Partial[Note 1],No,Partial[Note 1],Partial[Note 1],No,?,Yes,No,No,No,Partial,No,No,No,No
XChat,Yes,Yes,Yes,?,Yes,Yes,No,?,Yes,No,No,No,?,?,No,No,No
Client," Windows 7, Vista "," XP, 2000 ",NT 4.0,NT 3.x," Me, 98 ",95,3.1x,ReactOS,OS X (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k)," BeOS, Haiku "," OS/2, eCS ",AmigaOS (68k)," AmigaOS 4, MorphOS (PPC) ",DOS
