," C (programming language), C (programming language) ",Java (programming language),C Sharp (programming language)," Visual Basic, Visual Basic "," Delphi (programming language), Delphi (programming language) ",Ada (programming language),D (programming language),IDL specification language,Microsoft Access,Fortran
Ddoc,No,No,No,No,No,No,Yes,No,No,No
Document! X,C++/CLI only,Yes,Yes,Yes,No,No,No,Yes,Yes,No
Doxygen,Yes,Yes,Yes,with Plugin[b],with Plugin[b],No,Partial,Yes,No,Yes
Epydoc,No,No,No,No,No,No,No,No,No,No
Haddock (software),No,No,No,No,No,No,No,No,No,No
HeaderDoc,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Imagix 4D,Yes,Yes,No,No,No,No,No,No,No,No
Javadoc,No,Yes,No,No,No,No,No,No,No,No
JSDoc,No,No,No,No,No,No,No,No,No,No
JSDoc,No,No,No,No,No,No,No,No,No,No
Natural Docs,Partial,Partial,Yes,Partial,Partial,Partial,No,No,No,Partial
NDoc,No,No,Yes,No,No,No,No,No,No,No
Pdoc,No,No,No,No,No,No,No,No,No,No
Perldoc,No,No,No,No,No,No,No,No,No,No
PhpDocumentor,No,No,No,No,No,No,No,No,No,No
Pydoc,No,No,No,No,No,No,No,No,No,No
RDoc,Partial,No,No,No,No,No,No,No,No,No
ROBODoc,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Sphinx (documentation generator),Yes,with Plugin,No,No,No,with Plugin,No,No,No,with Plugin
Visual Expert,No,No,Yes,No,No,No,No,No,No,No
VSdocman,No,No,Yes,Yes,No,No,No,No,No,No
YARD (software),No,No,No,No,No,No,No,No,No,No
," C, C++ ",Java,C#," VB, VBScript "," Delphi, Pascal ",Ada,D,IDL,Access,Fortran
