,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Exception ExceptionVAL,,,,,,,
DOM3,code,No,No,No,No,No,No
Interface DocumentEditVAL,,,,,,,
DOM3,continuousValidityChecking,No,No,No,No,No,No
,domConfig,,,,,,
,getDefinedElements(),,,,,,
,validateDocument(),,,,,,
Interface NodeEditVAL,,,,,,,
DOM3,defaultValue,No,No,No,No,No,No
,enumeratedValues,,,,,,
,canInsertBefore(),,,,,,
,canRemoveChild(),,,,,,
,canReplaceChild(),,,,,,
,canAppendChild(),,,,,,
,nodeValidity(),,,,,,
Interface ElementEditVAL,,,,,,,
DOM3,allowedChildren,No,No,No,No,No,No
,allowedFirstChildren,,,,,,
,allowedParents,,,,,,
,allowedNextSiblings,,,,,,
,allowedPreviousSiblings,,,,,,
,allowedAttributes,,,,,,
,requiredAttributes,,,,,,
,contentType,,,,,,
,canSetTextContent,,,,,,
,canSetAttribute,,,,,,
,canSetAttributeNode,,,,,,
,canSetAttributeNS,,,,,,
,canRemoveAttribute,,,,,,
,canRemoveAttributeNS,,,,,,
,canRemoveAttributeNode,,,,,,
,isElementDefined,,,,,,
,isElementDefinedNS,,,,,,
Interface CharacterDataEditVAL,,,,,,,
DOM3,isWhitespaceOnly(),No,No,No,No,No,No
,canSetData(),,,,,,
,canAppendData(),,,,,,
,canReplaceData(),,,,,,
,canInsertData(),,,,,,
,canDeleteData(),,,,,,
