Mail server,SMTP AUTH,POP before SMTP,APOP,File System,Database,Lightweight Directory Access Protocol,Native Anti Hammer - Brute-force attack protection,Other
Agorum core,Yes,No,No,No,Yes,Yes,?," PLAIN, LOGIN, CRAM-MD5CRAM-MD5, NTLM "
Apache James,Yes,?,?,?,Yes,Yes,?," PLAIN, LOGIN "
Axigen,Yes,No,Yes,Yes,No,Yes,No," GSSAPI, CRAM-MD5CRAM-MD5, CRAM-MD5CRAM-MD5, APOP, CLRTXT, LOGIN, PLAIN, LDAP, Internal "
CommuniGate Pro,Yes,Yes,Yes,Yes,Yes,Yes,?," Active Directory (LDAP), CLRTXT, CRAM-MD5CRAM-MD5, CRAM-MD5CRAM-MD5, APOP, GSSAPI, NTLM, MSN, SESSIONID, External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL "
Courier Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,?," Managed by Pluggable Authentication Modules which can use Pluggable Authentication Modules, Userdb, Pluggable Authentication Modules(beta), Pluggable Authentication Modules, Pluggable Authentication Modules, and EXTERNAL. "
Cyrus IMAP,Yes,Yes,Yes,Yes,Yes,Yes,?," Supports X.509 PKI auth via X.509 and EXTERNAL. Uses  Cyrus SASL  authentication library for support for other mechanisms: X.509, GDBM, or NDBM (sasldb), X.509, X.509, X.509, X.509, X.509, X.509(LDAP), X.509, X.509 4 and 5, proxied IMAP auth, getpwent, shadow, SIA, Courier Authdaemon, httpform, APOP and SASL mechanisms: ANONYMOUS, X.509X.509, X.509X.509, X.509, EXTERNAL, GSSAPI, LOGIN, NTLM, X.509, PASSDSS, PLAIN, SRP "
Dovecot (software),Yes,Yes,Yes,Yes,Yes,Yes,?," Submission service supports SMTP AUTHPluggable Authentication Modules. Offers SASL to MTAs.Pluggable Authentication ModulesPluggable Authentication Modules POP-before-SMTP via DRAC plugin. Pluggable Authentication Modules, Pluggable Authentication Modules, Pluggable Authentication Modules, Pluggable Authentication Modules, Pluggable Authentication Modules, Pluggable Authentication Modules(LDAP), Pluggable Authentication Modules 5, proxied IMAP auth, getpwent, shadow, SIA, BSDauth, Pluggable Authentication Modules. APOP and SASL mechanisms: ANONYMOUS, PLAIN, LOGIN, Pluggable Authentication ModulesPluggable Authentication Modules, Pluggable Authentication ModulesPluggable Authentication Modules, Pluggable Authentication Modules, EXTERNAL, GSSAPI, NTLM, Pluggable Authentication Modules, SKEY, RPA. "
Eudora Internet Mail Server,Yes,No,Yes,Yes,No,No,Yes," CRAM-MD5CRAM-MD5, CRAM-MD5CRAM-MD5, PLAIN, LOGIN "
Exim,Yes,Yes,Yes,Yes,Yes,Yes,?," Cyrus SASL, Dovecot SASL, GNU SASL, CRAM-MD5CRAM-MD5, Heimdal GSSAPI, PLAIN, LOGIN, SPA "
FirstClass,Yes,?,?,Yes,Yes,Yes,?,
Gordano Messaging Suite,Yes,Yes,Yes,No,Yes,Yes,?," PLAIN, LOGIN, CRAM-MD5CRAM-MD5, CRAM-MD5CRAM-MD5, APOP, ODBC, Active Directory, NT Domain "
GroupWise,Yes,Yes,Yes,Yes,Yes,Yes,?," EDirectory, Any LDAPv3-compliant source "
Halon (software),Yes,No,No,Yes,Yes,Yes,?," Many mechanism (SMTP callout, Dovecot (software) SASL, Dovecot (software), etc.) via script.Dovecot (software) "
Haraka (software),Yes,No,No,Yes,Yes,Yes,?," Proxy to other server, any other mechanism via AUTH plugins. "
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,?," PLAIN, LOGIN, CRAM-MD5CRAM-MD5, NTLM "
Ipswitch IMail Server,Yes,No,Yes,Yes,Yes,Yes,Yes," Active Directory, Windows authentication, CRAM-MD5CRAM-MD5, PLAIN, LOGIN "
Kolab,Yes,Yes,Yes,Yes,Yes,Yes,?,Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via X.509 and EXTERNAL.
Mailsite,Yes,No,Yes,Yes,Yes,Yes,?," NT Domain, Active Directory, PLAIN, LOGIN, NTLM, Salted Challenge Response Authentication Mechanism, Salted Challenge Response Authentication MechanismSalted Challenge Response Authentication Mechanism "
Mailtraq,Yes,Yes,Yes,Yes,Yes,Yes,?," NT Domain, Active Directory, Local Directory "
MDaemon,Yes,No,Yes,No,No,Yes,Yes,
Mercury Mail Transport System,Yes,Yes,Yes,Yes,No,?,?," Internal, LOGIN, PLAIN, CRAM-MD5CRAM-MD5, Netware, LDAP?, partial NT Domain "
Microsoft Exchange Server,Yes,?,Yes,No,No,Yes,Yes," Active Directory, LOGIN,[28] NTLM "
NetMail,Yes,Yes,Yes,Yes,Yes,Yes,?," eDirectory, LDAP "
Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,Yes,Yes,?," Plain, Login, CRAM-MD5CRAM-MD5, CRAM-MD5CRAM-MD5, Certificate "
OpenSMTPD,Yes,No,No,Yes,Yes,Yes,?," By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends. "
Postfix (software),Yes,No,No,Yes,Yes,Yes,Yes,Supports all Cyrus SASL authentication methods except for APOP.
