Age range,England &amp; Wales,,,Northern Ireland,,,Scotland,,,American English,
,Name,Alternative/old name,Syllabus,Age range,Name,Syllabus,Age range,Name,Exam,Name,Alternative name
2–4,Preschool (optional),,,,,,,,,,
,Nursery,Playgroup,Foundation Stage 1,2–4,Play School,,2–4,Playgroup,,Daycare
3–5,Primary school,,,,,,,,,,
,Reception,Infant school reception,Foundation Stage 2,4–5,Primary 1 (P1),Foundation Stage,4–5,P1,,Preschool,Pre-K
5–6,Year 1,Infants year 1,Key Stage 1,5–6,P2,,5–6,P2,,Kindergarten,
Elementary school,,,,,,,,,,
,6–7,Year 2,,Infants year 2,6–7,P3,Key Stage 1,6–7,P3,,1st Educational stages,
7–8,Year 3,First year Junior school,Key Stage 2,7–8,P4,7–8,,P4,,2nd grade,
8–9,Year 4,Second year junior,,8–9,P5,Key Stage 2,8–9,P5,,3rd grade,
9–10,Year 5,Third year junior,,9–10,P6,,9–10,P6,,4th grade,
10–11,Year 6,Fourth year junior,,10–11,P7,,10–11,P7,,5th grade,
11–12,Secondary school / Secondary school,,,,,,,,,Middle school,Junior high school
,Year 7,First Form (education)Form (education),Key Stage 3,11–12,First Form,Key Stage 3,11–12,S1,,6th grade,
12–13,Year 8,Second form,,12–13,Second Form,,12–13,S2,,7th grade,
13–14,Year 9,Third form,,13–14,Third form,,13–14,S3,,8th grade,
14–15,Year 10,Fourth form," Key Stage 4, General Certificate of Secondary Education ",14–15,Fourth form," Key Stage 4, GCSE ",14–15,S4,,High school,
,,,,,,,,,,9th grade,Freshman year
15–16,Year 11,Fifth form,,15–16,Fifth form,,15–16,S5,Higher (Scottish),10th grade,Sophomore year
16–17,Sixth form / Sixth formSixth form,,,,,,,,,11th grade,Junior year
,Year 12,Lower sixth (first year)," Key Stage 5, GCE Advanced Level in the United Kingdom ",16–17,Lower sixth," Key Stage 5, A level ",16–17,S6,Advanced Higher (Scottish),,
17–18,Year 13,Upper sixth (second year),,17–18,Upper sixth,,,,,12th grade,Senior year
