Name,Computer networking,Realtek,RTL8139,Gigabit Ethernet,10 Gigabit Ethernet,Wireless LAN,Bluetooth,Infrared Data Association
Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FreeBSD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OpenBSD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
NetBSD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DragonFly BSD,Yes,,Yes,Yes,Yes,Yes,Yes,
" OpenSolaris, OpenSolaris ",Yes,,Yes,Yes,Yes,Yes,No,No
AuroraUX (page does not exist),Yes,,Yes,Yes,Yes,Yes,No,No
" Darwin (operating system), Darwin (operating system) ",Yes,,,,,,,
MINIX,Yes,,Yes,,,,,
FreeDOS,Yes,Yes,Yes,,,,,
Genode,Yes,No,No,Yes,No,Yes,No,No
Haiku (operating system),Yes,Yes,Yes,Yes,,Yes,,
KolibriOS,Yes,Yes,Yes,,,,No,Yes
MenuetOS,Yes,Yes,,,,,No,No
GNU,Yes,,,,,,,
ReactOS,Yes,Yes,Yes,Yes,Yes,Yes,No,No
" L4 microkernel family, L4 microkernel family, L4 microkernel family ",,,,,,,,
Plan 9 from Bell Labs,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Amiga Research Operating System,Yes,Yes,,,,,,
Syllable Desktop,Yes,Yes,Yes,Yes,,,,
Inferno (operating system),Yes,Yes,Yes,Yes,,Yes,No,No
FreeRTOS,,,,,,,
ECos,Yes,,,Yes,,,Yes,
RTEMS,Yes,Yes,Yes,Yes,No,No,No,No
HelenOS,Yes,Yes,Yes,Yes,No,No,No,No
E/OS,Yes,Yes,Yes,Yes,Yes,No[6],No,No
Name,Networking support,NE2000/RTL8029,RTL8139,Gigabit Ethernet,10 Gigabit Ethernet,Wireless LAN,Bluetooth,IrDA
