S No., Name, Operator, Manufacturer, Max range, Missile mass, Warhead/payload[clarification needed], Status, First flight, MIRV, Mobility, Accuracy (CEP)
1, RS-28 Sarmat, Russia, State Rocket Center Makeyev, 10000 km, 220 tonnes [1], 10000 kg[citation needed], Under development, 2018, Yes, Silo, 16[clarification needed]
2, BZhRK Barguzin, Russia, Votkinsk, 12600 km, 45-50 tonnes, N/A, Under development, N/A, Yes, Railroad, N/A
3, R-36M2 Voevoda[Note 1], USSR, Yuzhny Machine-Building Plant, 11000 km (or 16000 km with a single warhead)[2], 211400 kg[2], 10 x 800 kt / 8730 kg[2], Active, 1986, Yes, Silo, 220 m
4, UR-100N UTTKh, USSR, Khrunichev Machine-Building Plant, 10000 km, 105600 kg, 6 x 550 kt / 4350 kg, Active, 1977[3], Yes, Silo, N/A
5, RT-2PM Topol, USSR, Votkinsk Machine Building Plant, 10500 km, 45100 kg, 800 kt, Active, 1985, No, Road-mobile TEL, 200 m
6, RT-2PM2 Topol-M, Russia, Votkinsk Machine Building Plant, 11000 km, 47200 kg, 800 kt, Active, 1994, Yes, Silo road-mobile TEL, 200 m
7, RS-24, Russia, Votkinsk Machine Building Plant, 12000 km, 49000 kg, 4 x 300 kt, Active, 2007, Yes, Silo road-mobile TEL, 150 m
8, R-29R, Russia, State Rocket Center Makeyev, 6500 km, 35300 kg, 1650 kg, Active, N/A, N/A, Delta III Submarine, N/A
9, R-29RK, Russia, State Rocket Center Makayev, 6500 km, 34388 kg, 1650 kg, Active, N/A, Yes, Delta III Submarine, N/A
10, R-29RL, Russia, State Rocket Center Makeyev, 9000 km, 35300 kg, 1650 kg, Active, N/A, Yes, Delta III Submarine, N/A
11, R-29RM, Russia, Krasnoyarsk Machine-Building Plant, 8300 km, 40300 kg, 2800 kg, Active, N/A, Yes, Delta IV Submarine, N/A
12, R-29RMU Sineva, Russia, Krasnoyarsk Machine-Building Plant, 11547 km, 40300 kg, N/A, Active, 2004, Yes (6), Delta IV Submarine, N/A
13, R-29RMU2 Layner, Russia, Krasnoyarsk Machine-Building Plant, 11000 km+, 40000 kg, N/A, Active, 2011, Yes (12), Delta IV Submarine, N/A
14, RSM-56 Bulava, Russia, Votkinsk Plant State Production Association, 10000 km, 36800 kg, 6 x 150 kt, Active, 2005, Yes, Borei class submarine, 200 m
15, R-7 Semyorka[Note 2], USSR, Soviet Academy of Sciences, 12000 km, 280000 kg, 2.9 Mt of TNT, Inactive, 1959, No, Launch pad, 5000 m
16, R-16, USSR, Khartron, 11000 km, 141000 kg, 5 Mt, Inactive, 1961, No, Silo, 2700 m
17, R-9 Desna, USSR, NPO Energomash Khartron, 11000 km, N/A, 2.3 Mt, Inactive, 1961, No, Silo, 2000 m
18, UR-100, USSR, Khrunichev Machine-Building Plant, 10600 km, 41400 kg, 1 Mt, Inactive, 1966, No, Silo, N/A
19, RT-2, USSR, , 8000 km, 34000 kg, 600 kt, Inactive, 1968, No, Silo, 
20, MR-UR-100 Sotka, USSR, Yuzhny Machine-Building Plant, 10250 km, 71200 kg, 4×0.4 Mt, Inactive, 1971, Yes, Silo, 
21, RT-23 Molodets, USSR, Yuzhnoye Design Bureau, 10450 km, 104500 kg, 10 x 550 kT, Inactive, 1986, Yes (10), Silo Railroad, 150–250 m
22, R-29, USSR, State Rocket Center Makayev, 7700 km, , , Inactive, 1969, No, Delta I submarine, 
23, R-39 Rif, USSR, Zlatoust Machine-Building Plant, 8300 km, 84000 kg, 10 x 100–200 kT, Inactive, 1983, Yes, Typhoon class submarine, N/A
24, Minuteman III, US, Boeing, 13000 km, 35300 kg, 3 x 300 kt of TNT, Active, 1970, Yes, Silo, 200 m
25, Trident, US, Lockheed Martin Space Systems, 7400 km, 33142 kg, 8 x 100 kt, Inactive, 1977, Yes, Ohio-class submarine, 380 m <
26, Atlas, US, Consolidated Vultee Aircraft (Convair), 14500 km, , , Inactive, 1959, No, , 
27, Titan I, US, Glenn L. Martin Company, 10200 km, 105140 kg, 3.75 Mt, Inactive, 1959, No, Silo, 
28, Titan II, US, Glenn L. Martin Company, 15000 km, 154000 kg, 9 Mt, Inactive, 1962, No, Silo, 
29, Minuteman I, US, Boeing, , , 1.2 Mt, Inactive, 1961, No, Silo, 200 m
30, Minuteman II, US, Boeing, , , 1.2 Mt, Inactive, 1965, No, Silo, 
31, LGM-118 Peacekeeper, US, Boeing Martin Marietta TRW, 9600 km, 96750 kg, 10 x 300 kt, Inactive, 1983, Yes, Silo, 120 m
32, Midgetman, US, Martin Marietta, 11000 km, 13600 kg, 475 kT, Inactive, 1992, No, Small ICBM Hard Mobile Launcher[4], 90 m
33, Trident II, United Kingdom and United States, Lockheed Martin Space Systems, 11300 km+, 58500 kg, 8 x 475 kt or 12 c 100 kt, Active, 1987, Yes, Ohio-class and Vanguard-class submarines, 90–120 m
34, M4, France, EADS SPACE Transportation, 5000 km, 36000 kg, 6 x 150 kt, Inactive, 1985, Yes, Le Redoutable class submarine, 
35, M45, France, Aérospatiale/EADS SPACE Transportation, 6000 km, 35000 kg, 6 x 110 kt TNT, Active, 1986, Yes, Triomphant class submarine, 350 m
36, M51.1, France, EADS Astrium Space Transportation, 10000 km (or more), 52000 kg, 6 to 10 x 100 kt of TNT, Active, 2006, Yes, Triomphant class submarine, 
37, M51.2, France, EADS Astrium Space Transportation, 10000 km (or more), 52000 kg, 6 to 10 x 150kt of TNT (new Tête nucléaire océanique), Under Development, , Yes, Triomphant class submarine, 
38, DF-5, China, China Academy of Launch Vehicle Technology, 12000 km, 183000 kg, 5 Mt, Active, 1971, No, , 1000 m
39, DF-5A, China, China Academy of Launch Vehicle Technology, 15000 km, 183000 kg, 4 Mt, Active, 1983, Yes (Speculated), Silo, 1000 m
40, DF-5B, China, China Academy of Launch Vehicle Technology, 15000 km, 183000 kg, 3 to 8, Active, 2015, Yes, Silo, 
41, DF-4, China, Factory 211 (Capital Astronautics Co.), 7000 km, 82000 kg, 3.3 Mt, Active, 1975, Yes (Speculated), Silo, 1500 m
42, DF-31, China, Academy of Rocket Motors Technology (ARMT), 8000 km, 42000 kg, 1 Mt, Active, 1999 (Reported), No, Road-mobile TEL, 
43, DF-31A, China, Academy of Rocket Motors Technology (ARMT), 12000 km, 42000 kg, 3[clarification needed], Active, , Yes, Road-mobile TEL, 
44, DF-41, China, China Academy of Launch Vehicle Technology, 12000-15000 km, , 10[clarification needed], Active, 2012[5], Yes, Road-mobile TEL, 
45, JL-2, China, Factory 307 (Nanjing Dawn Group), 12000 km, 42000 kg, 3-6, Active, 2001 (Believed), Yes, Type 094 Jin class submarine, 
46, Agni-V, India, Defence Research and Development Organization, 5500 – 8000 km, 50000 kg, 3-6, Active, 2012, Yes, Road mobile TEL Rail Mobile, <10 m (single digit accuracy) [6]
47, Agni-VI, India, Defence Research and Development Organization, 10000 – 12000 km, 55000 - 70000 kg, 10, Under development, Unknown, Yes, Road mobile TEL Rail Mobile, <10 m (single digit accuracy) [7]
48, Surya, India, Defence Research and Development Organization, 12000 – 16000 km, 55000 - 70000 kg, 10-15, Project existence unknown, 2022, Yes, Road mobile TEL Rail Mobile, <15 m (single digit accuracy)
49, KN-08, North Korea, , 1500 – 12000 km (Speculated)[8], , , Inactive (Reportedly)[9], 2012, No, Silo, 
50, Hwasong-14, North Korea, , 6700 – 10000 km [10][11][12][13][14][15][16], 33800 kg[17], 500 kg[18], Under development, 2017, No, Road-mobile TEL, N/A
51, Hwasong-15, North Korea, , 13000 km [19], 72000 kg[20], 1000 kg[21], Under development, 2017, Maybe[22][23][24][25], Road-mobile TEL, N/A
52, Jericho III, Israel, Israel Aerospace Industries, 4800 – 11500 km (Speculated), 30000 kg, 750 kg single or MIRVed (Suspected)[26], Active (Suspected), 2008, Yes, Road-mobile TEL, N/A [Note 3]
53, Ground Based Strategic Deterrent, United States, Either Boeing or Northrop Grumman, , , , Under Development, , Yes, Silo
