Application,Red (Compact Disc Digital Audio),Yellow (CD-ROM),Orange (CD-R/CD-R),White (Video CD/Video CD),Blue (Enhanced CD),Beige (Photo CD),Green (Philips CD-i),Purple (Double-density compact disc),Scarlet (Super Audio CD)
Alcohol 120%,No,Yes,Yes,No,No,No,No,No,No
CDBurnerXP,Yes,Yes,Yes,No,No,No,No,No,No
Cdrtools,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?
DeepBurner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Express Burn Disc Burning Software,Yes,Yes,Yes,No,No,No,No,No,No
ImgBurn,Yes,Yes,Yes,No[2],?,?,Yes,No,?
InfraRecorder,?,?,Yes,?,?,?,?,?,?
K3b,Yes,?,Yes,Yes,Yes,No,Yes,No,?
Libburnia,Yes,Yes,Yes,No,No,No,No,No,No
Nero Burning ROM,Yes,Yes,Yes,Yes,No,No,No,No,No
UltraISO,Yes,Yes,Yes,?,?,?,?,?,?
X-CD-Roast,Yes,Yes,Yes,No,No,No,No,No,No
Application,Red (Compact Disc Digital Audio),Yellow (CD-ROM),Orange (CD-R/CD-R),White (Video CD/Video CD),Blue (Enhanced CD),Beige (Photo CD),Green (Philips CD-i),Purple (Double-density compact disc),Scarlet (Super Audio CD)
