Client,File Transfer Protocol,FTP over SSH,SSH File Transfer Protocol,FTPS,File eXchange Protocol,WebDAV,Data compression,Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer[13],Segmented Downloads[13]
AbsoluteTelnet,No,No,Yes,No,No,No,Yes,Yes,?,?,?,?,?
ALFTP,Yes,No,No,Yes,No,No,No,?,?,?,?,?,?
Beyond Compare,Yes,No,Yes (Pro only),Yes (Pro only),No,Yes (Pro only),Yes,Yes,Yes,Yes,Yes,?,?
Classic FTP,Yes,No,No,Yes,No,No,No,?,?,?,Yes,?,?
Codeanywhere,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
Commander One,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,?,?
CoreFTP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?,?,Yes[14]
CrossFTP,Yes,Yes (Pro only),Yes (Pro only),Yes (Pro only),Yes (Pro only),Yes (Pro only),Yes,?,Yes,Yes,Yes,?,?
CURL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes (Only),Yes,Yes,?,?
CuteFTP,Yes,Yes,Yes,Yes,Yes,Yes (HTTP(S)),Yes,No,?,Yes,Yes,?,Yes
Cyberduck,Yes,No,Yes,Yes,No,Yes,No,Yes (SFTP only),Yes,Yes,Yes,?,?
Directory Opus,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,?,?
ExpanDrive (Mac),Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,?,?,?,?
ExpanDrive (Windows),Yes,No,Yes,Yes,No,No,?,No,?,?,?,?,?
FAR Manager,Yes,Yes,Yes,Yes,?,Yes,No,?,?,Yes,Yes,?,?
Fetch (FTP client),Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,?,?
FileZilla,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes (basic),Yes,Yes,?,?
FireFTP,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,?,?
FlashFXP,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,?,?
Fling FTP,Yes,No,No,Yes,No,No,No,Yes,Yes,?,?,?,?
ForkLift (File Manager),Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,?
FTP Client,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,?,?,?
FTP Commander,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,?,?,?
FTP Explorer,Yes,No,No,No,?,?,No,?,?,?,?,?,?
FTP Voyager,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,?,?
Fugu (software),No,No,Yes,No,No,No,No,?,?,?,?,?,?
GFTP,Yes,Yes,Yes,Yes (control connection only),Yes,?,No,?,Yes,?,?,?,?
Interarchy,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,Yes,Yes,?,?
LeechFTP,Yes,No,No,No,No,No,No,?,?,?,?,?,?
Lftp,Yes,Yes,Yes,Yes,Yes,Yes (Partial),No,No,Yes,Yes,?,?,Yes
Macfusion,Yes,?,Yes,No,?,?,?,?,?,?,?,?,?
NcFTP,Yes,No,No,?,?,?,No,?,Yes,?,Yes,?,?
PbFtpClient,Yes,Yes,Yes,Yes,No,No,Yes,No,?,?,?,?,?
PSFTP (PuTTY),No,No,Yes,No,No,No,No,No,Yes,Yes,?,?,?
Secure FTP (software),Yes,No,No,Yes,No,No,Yes,Yes,Yes,?,?,?,?
SmartFTP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,Yes
Steed (FTP client),Yes,No,Yes,Yes,No,No,No,No,No,?,Yes,?,?
Sysax FTP Automation,Yes,No,Yes,Yes,No,No,Yes,No,Yes (script and command line),?,?,?,?
Total Commander,Yes,Yes,Yes (plugin),Yes,Yes,Yes (plugin),Yes,?,Yes,Yes,Yes,?,?
Transmit (FTP client),Yes,No,Yes,Yes,Yes,Yes,No,?,Yes (AppleScript),Yes,Yes,?,?
WebDrive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (SFTP),Yes,Yes,Yes,?,?
Windows 7 (ftp.exe),Yes,No,No,No,No,No,No,No,No,?,No,?,?
WinSCP,Yes,Yes,Yes,Yes,No,Yes,Yes (SFTP only),Yes (SCP command),Yes,Yes,Yes,Yes,No
WISE-FTP,Yes,No,Yes,Yes,Yes,No,Yes,Yes,?,?,?,?,?
WS FTP,Yes,Yes (Pro only),Yes (Pro only),Yes,Yes (Pro only),Yes,Yes (Pro only),No,Yes (Pro only),Yes (Pro only),Yes,?,?
Yummy FTP,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes (AppleScript),Yes,Yes,?,?
Client,File Transfer Protocol,FTP over SSH,SSH file transfer protocol,FTPS,File eXchange Protocol,WebDAV,Data compression,Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer,Segmented Downloads
