Name,ZIP support,FTP support,SFTP support,Version Control browsing,Patch creation,Patch application,Patch preview,Unicode support,XML-aware
Beyond Compare,Yes,Yes,Yes,SVN,Yes,Yes,Yes,Yes,
Compare++,,,," SVN, CVS, Git, Microsoft TFS, Perforce, VSS using command line ",,,,Yes,
Diff,No,No,,No,Yes,Yes with patch,Yes with patch,No,No
Diff3,No,No,,,,,,,No
Eclipse (software) (compare),,,," Yes Concurrent Versions System, Concurrent Versions System, Concurrent Versions System, Concurrent Versions System, Concurrent Versions System ",,,,Yes,
Ediff,Yes,Yes,," RCS, CVS, SVN, Mercurial, git (anything supported by Emacs' VC-mode)[31] ",Yes,Yes,Yes,,
ExamDiff Pro,Yes[32],Yes[33],,,normal diff only,,,Yes,
Far Manager (compare),No,No,,No,No,No,No,Yes,No
Microsoft File Compare,No,No,,,No,,,,
Apple Developer Tools,No,supported by OS,,,No,,,No,No
Guiffy SureMerge,Yes,,,,Yes,Yes,Yes,Yes[34],
IntelliJ IDEA (compare),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
JEdit,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
Kompare,,,,,Yes,,,,
Lazarus (software) Diff,,,,,,,,,
Meld (software),,,," Concurrent Versions System, Concurrent Versions System, Concurrent Versions System, Concurrent Versions System, Concurrent Versions System ",Yes,,,Yes,
Notepad++,No,Yes[35],," Git, Subversion (compare against base) ",No,No,No,Yes,No
Perforce,,,,No,,,,Yes,
Pretty Diff,No,No,No,No,No,No,No,Yes,Yes
Tkdiff,No,No,," CVS, RCS, Subversion ",No,No,No,No,No
Total Commander (compare),Yes,Yes,Yes,No,No,No,No,Yes,No
Vim (text editor),Yes,Yes,,,Yes,,,Yes,
WinDiff,No,No,,,No,,,No,
WinMerge,Yes,No,," Mercurial,[36] Subversion,[37] Visual Source Safe, Rational ClearCase[38] ",Yes,,,Yes,
Unified Code Count (UCC),Yes,No,,,,,,Yes,
