Manager,Copy Music,Copy Videos,Copy Smart Playlists,Copy Album Artwork,Extract Digital rights management-Free Music,Extract Digital rights management-Free Videos,Extract Playcounts,Extract Playlists,Copy Content to iPod
Amarok (audio),Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No
Banshee (music player),Yes,?,Yes,Yes,Yes,No,Yes,?,Yes
Clementine (software),Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
EphPod,Yes,?,Yes,No,Yes,No,?,?,?
Gtkpod,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IRip,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
ITunes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
JRiver Media Center,Yes,?,Yes,Yes,No,Yes,?,?,?
MediaMonkey,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
Rhythmbox,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Senuti,Yes,Yes,No,No,Yes,Yes,Yes,?,?
Winamp native,Yes,Yes,No,Yes,Yes,Yes,?,Yes,Yes
XPlay,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Manager,Copy Music,Copy Videos,Copy Smart Playlists,Copy Album Artwork,Extract Digital rights management-Free Music,Extract Digital rights management-Free Videos,Extract Playcounts,Extract Playlists,Copy Content to iPod
