,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Interface Range,,,,,,,
DOM2,startContainer,No,?,1.0,Yes,?,1.0
,startOffset,,?,,,?,
,endContainer,,?,,,?,
,endOffset,,?,,,?,
,collapsed,,?,,,?,
,commonAncestorContainer,,?,,,?,
,setStart(),,?,,,?,
,setEnd(),,?,,,?,
,setStartBefore(),,?,,,?,
,setStartAfter(),,?,,,?,
,setEndBefore(),,?,,,?,
,setEndAfter(),,?,,,?,
,collapse(),,?,,,?,
,selectNode(),,?,,,?,
,selectNodeContents(),,?,,,?,
,compareBoundaryPoints(),,?,,,?,
,deleteContents(),,?,,,?,
,extractContents(),,?,,,?,
,cloneContents(),,?,,,?,
,insertNode(),,?,,,?,
,surroundContents(),,?,,,?,
,cloneRange(),,?,,,?,
,toString(),,?,,,?,
,detach(),,?,,,?,
Interface DocumentRange,,,,,,,
DOM2,createRange(),No,?,1.0,No,?,1.0
Exception RangeException,,,,,,,
DOM2,code,No,?,1.0,Yes,?,1.0
