Editor,Microsoft Windows,OS X,Linux,Berkeley Software Distribution,Unix,IOS,Android (operating system)
Amaya (web browser),Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,No,No
Aptana,Yes,Yes,Yes,Yes,No,No,No
Arachnophilia,Yes,Yes,Yes,Yes,No,No,No
Atom (text editor),Yes,Yes,Yes,No,No,No,No
Bluefish (text editor),Yes,Yes,Yes,Yes,Yes,No,No
BlueGriffon,Yes,Yes,Yes,No,No,No,No
Adobe Brackets,Yes,Yes,Yes,No,No,No,No
Claris Homepage,Terminated (3.0),No,No,No,No,No,No
Codelobster,Yes,No,No,No,No,No,No
CoffeeCup HTML Editor,Yes,Yes,No,No,No,No,No
CudaText,Yes,Yes,Yes,Yes,Yes,No,No
Adobe Contribute,Yes,Yes,No,No,No,No,No
Dreamweaver,Yes,Yes,No,No,No,No,No
EZGenerator,Yes,No,No,No,No,No,No
Freeway (software),No,Yes,No,No,No,No,No
Adobe GoLive,Terminated (9.0),Terminated (9.0),No,No,No,No,No
HTML-Kit,Yes,No,No,No,No,No,No
KompoZer KompoZer,Yes,Yes,Yes,Yes,No,No,No
LibreOffice,Yes,Yes,Yes,source only,source only,No,No
Maqetta,Yes,Yes,Cloud[4],Cloud[4],No,No,No
Microsoft Expression Web,Yes,No,No,No,No,No,No
Microsoft FrontPage,Terminated (2003),No,No,No,No,No,No
Microsoft SharePoint Designer,Yes,No,No,No,No,No,No
Microsoft Visual Web Developer,Yes,No,No,No,No,No,No
Web Architect,Yes,No,No,No,No,No,No
Mobirise,Yes,Yes,No,No,No,No,Yes
Mozilla Composer,Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),No,No
Nvu Nvu,Terminated (1.0),Terminated (1.0),Terminated (1.0),Terminated (1.0),No,No,No
OpenElement,Yes,No,No,No,No,No,No
OpenOffice.org,Yes,Yes,Yes,source only,source only,No,No
Oxygen XML Editor,Yes,Yes,Yes,Yes,Yes,No,No
Quanta Plus,Yes,Yes,Yes,No,No,No,No
Quanta Plus,No,Terminated 2009,Terminated 2009,Terminated 2009,Terminated 2009,No,No
RocketCake,Yes,Yes,No,No,No,No,No
SeaMonkey Composer,Yes,Yes,Yes,Yes,Yes,No,No
TOWeb,Yes,No,No,No,No,No,No
WebStorm IDE,Yes,Yes,Yes,Yes,Yes,No,No
Editor,Microsoft Windows,OS X,Linux,Berkeley Software Distribution,Unix,IOS,Android (operating system)
