Server name, License, Programming language, RFC 2616 HTTP/1.1, RFC 2617 HTTP auth., RFC 2518 WebDAV, RFC 3253 WebDAV vers., RFC 3744 WebDAV ACL, RFC 4324 iCal CAP, RFC 4331 WebDAV quota, RFC 4709 WebDAV mount, RFC 4791 CalDAV, RFC 4918 WebDAV ext., RFC 5397 WebDAV current principal, RFC 5545 rev. iCal (Availability Check), RFC 5546 iCal iTIP(Group Scheduling), RFC 5689 WebDAV ext. MKCOL, RFC 5995 WebDAV POST add member, RFC 6352 CardDAV vCard, RFC 6578 WebDAV sync, RFC 6638 CalDAV sched.(Auto-Schedule), RFC 7529 iCal RSCALE, RFC 7540 HTTP/2, RFC 7809 CalDAV time zones by ref., RFC 7953 iCal VAVAILABILITY, Free-busy URL
Baïkal[22][23], GNU GPL, PHP, Yes [Note 1], Yes, Yes, No, Some, No, Unknown, No, Yes, Yes, Yes, Yes, Unknown, Yes, Unknown, Yes, Unknown, Unknown, Unknown, Yes [Note 1], Unknown, Unknown, Unknown
Bedework[24], Apache, Java, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Yes, Yes, Unknown, Unknown, Yes, Yes, Yes, Unknown, Unknown, Unknown, Unknown, Unknown
Calendar and Contacts Server[25], Apache, Python, Yes, Yes, Yes, Yes, Yes, No, Unknown, No, Yes, Yes, Yes, Yes, Yes, Yes, Unknown, Yes, Yes, Yes, Unknown, Unknown, Unknown, Unknown, Unknown
Calypso[26], GNU GPL, Python, Yes, Yes, Yes, No, Unknown, No, Unknown, No, Yes, Yes, No, Yes, Yes, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
Cyrus IMAP[27], BSD, C, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
DAViCal[28][29], GNU GPL, PHP, Yes [Note 1], Yes, Yes, Yes, Yes, Yes, Unknown, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Unknown, Yes [Note 1], Unknown, Yes, Yes
DavMail[30], GNU GPL, Java, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
Fennel[31], GNU GPLv3, JavaScript, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
Group-Office[32], AGPL proprietary, PHP, Yes [Note 1], Yes, Yes, Unknown, Some, Unknown, Unknown, Yes, Yes, Yes, Yes, Yes, Unknown, Yes, Unknown, Yes, Unknown, Unknown, Unknown, Yes [Note 1], Unknown, Unknown, Unknown
Horde Groupware, GNU LGPL, PHP, Yes [Note 1], Yes, Yes, No, Some, No, No, Unknown, Yes, Yes, Yes, Yes, Yes, No, No, Yes, No, No, No, Yes [Note 1], No, No, No
Nextcloud[33], AGPL v3, PHP, Yes [Note 1], Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Unknown, Yes [Note 1], Unknown, Unknown, Unknown
Open Xchange, GNU GPL CC, Java JavaScript, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
ownCloud[34], AGPL v3, PHP, Yes [Note 1], Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Yes, Unknown, Unknown, Unknown, Yes [Note 1], Unknown, Unknown, Unknown
Radicale[35], GNU GPL, Python, Yes, Yes, Some, No, Some, No, Unknown, No, Some, Some, Some, No, Some, No, Unknown, Some, Unknown, No, Unknown, Unknown, Unknown, Unknown, Unknown
SabreDAV[36], BSD, PHP, Yes [Note 1], Yes, Yes, Yes, Yes, Yes, Unknown, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Unknown, Yes, Unknown, Yes, Unknown, Yes [Note 1], Unknown, Unknown, Unknown
