Name,Show in-line changes,Directory comparison,Binary comparison,Moved lines,3-way comparison,Merge,Structured comparison[26],Manual compare alignment,Image Compare
Beyond Compare,Yes,Yes,Yes,No,Yes (Files and Folders),Yes (Pro only),,Yes,Yes
Compare++,Yes,Yes,,,Yes,Yes," Yes (C/C++,C#,Java,Javascript,CSS3) ",,
Diff,No,Yes,partly,No,No,No,,,
Diff3,No,No,,,Yes (non-optional),,,,
Eclipse (software) (compare),Yes,,,,No (only ancestor),Yes,,No,
Ediff,Yes,Yes,Yes,,Yes,Yes,,,
ExamDiff Pro,Yes,Yes,Yes,Yes[27],Yes (ExamDiff Pro Master only)[28],Yes,,manual synchronization,
Far Manager (compare),Yes (Via plugin) [29],Yes,Yes,Yes (Via plugin) [29],No,No,,,
Microsoft File Compare,No,No,Yes,,No,No,,,
Apple Developer Tools,Yes,Yes,Yes,,Yes (optional ancestor),Yes,,,
Guiffy SureMerge,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes
IntelliJ IDEA (compare),Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes
JEdit,Yes,,,,No,Yes,,,
Kompare,,Yes,No,,No,Yes,,,
Lazarus (software) Diff,,,,,,,,,
Meld (software),Yes,Yes,No,Yes,Yes,Yes,," line alignment, unlink scroll ",
Notepad++,Yes,No,No,Yes,No,No,No,
Perforce,Yes,No,No,,Yes,Yes,,,Yes
Pretty Diff,Yes,Yes,No,No,No,No,Yes,No,
Tkdiff,Yes,No,No,No,No,No,,,
Total Commander (compare),Yes,Yes,Yes,No,No,Yes,No,resync comparison,No
Vim (text editor),Yes,Yes (via DirDiff plugin),,,Yes,Yes,,,
WinDiff,Yes,Yes,Yes,Yes,No,No,,,
WinMerge,Yes,Yes,No,Yes,Yes,Yes,,No,Yes
Unified Code Count (UCC),Yes,Yes,Yes,Yes,No,Yes,,,
Name,Show in-line changes,Directory comparison,Binary comparison,Moved lines,3-way comparison,Merge,Structured comparison[26],Manual compare alignment,Image compare
