Shell,Secure (password) prompt,Encrypted variables/ parameters,File/directory passwords,Execute permission,Untrusted script blocking,Restricted shell subset,Safe data subset
Bourne shell,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
POSIX shell,via stty[nb 20],No,?,N/A[nb 21],No,No,No
Bash (Unix shell) (v4.0),read -s,No,?,N/A[nb 21],No,Yes,No
C shell,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
Tcsh,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
Hamilton C shell,No,No,No,No,No,No,No
Scsh,via stty[nb 20],No,?,N/A[nb 21],No,No,No
Korn Shell (ksh93t+),via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
Pdksh,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
Zsh,read -s,No,?,N/A[nb 21],No,Yes,No
Almquist shell,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
CCP (CP/M),No,No,No,No,No,No,No
COMMAND.COM," Partial (only under DR-DOS, prompts for password if file/directory is protected) ",No,Partial (only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)[nb 22]," Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23] ",No,No,No
OS/2 CMD.EXE,No,No,No,No,No,No,No
Windows CMD.EXE,No,No,No,No,No,No,No
4DOS,Yes (via INPUT /P or INKEY /P)[nb 24],No,Partial (only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)[nb 22]," Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23] ",No,No,No
4OS2,?,No,No,No,No,No,No
Take Command Console (formerly 4NT)," Yes (via INPUT /P, INKEY /P or QUERYBOX /P)[nb 24] ",No,No,No,No,No,No
Windows PowerShell,Yes[nb 25],Yes,No,No[nb 26],Yes[53],Yes[nb 27],Yes[54]
Rc,via stty[nb 20],No,?,N/A[nb 21],No,Yes[55],No
BeanShell,?,?,?,?,?,?,?
DIGITAL Command Language,Yes,No,No,Yes,No,Yes,No
Friendly interactive shell,read -s,No,?,N/A[nb 21],No,Yes (via fish -l),?
