Editor,JPEG,Graphics Interchange Format,Portable Network Graphics,Tagged Image File Format,Scalable Vector Graphics
Amaya (web browser),Yes,Yes,Yes,Yes,Yes
Aptana,Yes,Yes,Yes,Yes,Depends
Arachnophilia,?,?,?,?,?
Bluefish (text editor),Yes,Yes,Yes,Yes,Yes
BlueGriffon,Yes,Yes,Yes,?,Yes
Adobe Brackets,Yes,Yes,Yes,No,Yes (via extension)[16]
Claris Homepage,Yes,Yes,No,No,No
Codelobster,Yes,Yes,Yes,No,No
CoffeeCup HTML Editor,Yes,Yes,Yes,Yes,No
Dreamweaver,Yes,Yes,Yes,Yes,Yes
Freeway (software),Yes,Yes,Yes,Yes,Yes
Adobe GoLive,Yes,Yes,Yes,No,Yes
KompoZer,Yes,Yes,Yes,No,No
Maqetta,?,?,?,?,?
Microsoft Expression Web,Yes,Yes,Yes,Yes,No
Microsoft FrontPageMicrosoft FrontPage,Yes,Yes,Yes,?,Depends
Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,No
Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,No
Mobirise,Yes,Yes,Yes,Yes,Yes
Nvu,Yes,Yes,Yes,No,No
OpenElement,Yes,Yes,Yes,No,No
OpenOffice.org,Yes,Yes,Yes,Yes,Yes
Oxygen XML Editor,Yes,Yes,Yes,Yes,Yes
Quanta Plus,Yes,Yes,Yes,Yes,Yes
RocketCake,Yes,Yes,Yes,No,No
SeaMonkey Composer,Yes,Yes,Yes,No,Yes
TOWeb,Yes,Yes,Yes,No,No
Web Architect,Yes,Yes,Yes,Yes,Depends
WebStorm IDE,Yes,Yes,Yes,No,No
Editor,JPEG,Graphics Interchange Format,Portable Network Graphics,Tagged Image File Format,Scalable Vector Graphics
