State,Highest court,High court seats,High court term,High court judicial placement method,Mandatory retirement age[note 9]
Courts of Alabama,Supreme Court of Alabama,9,6 years,Partisan election,
Judiciary of Alaska,Alaska Supreme Court,5,10 years,Missouri Plan,
Courts of Arizona,Arizona Supreme Court,7,6 years,Missouri Plan,70
Courts of Arkansas,Arkansas Supreme Court,7,8 years,Non-partisan election,
Judiciary of California,Supreme Court of California,7,12 years,Modified Missouri Plan,
Judiciary of Colorado,Colorado Supreme Court,7,10 years,Missouri Plan,
Courts of Connecticut,Connecticut Supreme Court,7,8 years[9],Election by the state legislature,70
Courts of Delaware,Delaware Supreme Court,5,12 years,Appointment by governor,
Judiciary of Florida,Florida Supreme Court,7,6 years,Modified Missouri Plan,70 (or end of current term)
Judiciary of Georgia (U.S. state),Supreme Court of Georgia (U.S. state),7,6 years,Non-partisan election,
Courts of Hawaii,Supreme Court of Hawaii,5,10 years,Appointment by the Governor,70
Courts of Idaho,Idaho Supreme Court,5,6 years,Non-partisan election,
Judiciary of Illinois,Supreme Court of Illinois,7,10 years,Partisan election,
Courts of Indiana,Indiana Supreme Court,5,10 years[note 10],Missouri Plan,75[note 11]
Judiciary of Iowa,Iowa Supreme Court,7,8 years,Missouri Plan,72
Courts of Kansas,Kansas Supreme Court,7,6 years,Missouri Plan,70 (or end of current term)
Courts of Kentucky,Kentucky Supreme Court,7,8 years,Non-partisan election,
Judiciary of Louisiana,Supreme Court of Louisiana,7,10 years,Partisan election,
Courts of Maine,Maine Supreme Judicial Court,7,7 years,Appointment by the Governor,
Courts of Maryland,Maryland Court of Appeals,7,10 years,Appointment by the Governor,70
Courts of Massachusetts,Massachusetts Supreme Judicial Court,7,Lifetime,Appointment by the Governor,70
Judiciary of Michigan,Michigan Supreme Court,7,8 years,Non-partisan election[note 12],Must be under 70 at time of election
Courts of Minnesota,Minnesota Supreme Court,7,6 years,Non-partisan election,70
Courts of Mississippi,Supreme Court of Mississippi,9,8 years,Non-partisan election,
Courts of Missouri,Supreme Court of Missouri,7,12 years,Missouri Plan,
Courts of Montana,Montana Supreme Court,7,8 years,Non-partisan election,
Courts of Nebraska,Nebraska Supreme Court,7,6 years,Missouri Plan,
Courts of Nevada,Supreme Court of Nevada,7,6 years,Non-partisan election,
Courts of New Hampshire,New Hampshire Supreme Court,5,Lifetime,Appointment by Governor,70
Judiciary of New Jersey,New Jersey Supreme Court,7,7 years[10],Appointment by Governor,70
Courts of New Mexico,New Mexico Supreme Court,5,8 years,Partisan election/Retention election,
Judiciary of New York,New York Court of Appeals,7,14 years,Appointed by the Governor,70 (at end of calendar year)
Courts of North Carolina,North Carolina Supreme Court,7,8 years,Non-partisan election,
Courts of North Dakota,North Dakota Supreme Court,5,10 years,Non-partisan election,
Courts of Ohio,Ohio Supreme Court,7,6 years,Non-partisan election,70 (at end of term)
Judiciary of Oklahoma,Oklahoma Supreme Court Oklahoma Supreme Court,Supreme Court: 9 Court of Criminal Appeals: 5,6 years (both),Missouri Plan,
Courts of Oregon,Oregon Supreme Court,7,6 years,Non-partisan election,75
Judiciary of Pennsylvania,Supreme Court of Pennsylvania,7,10 years,Partisan election,78
Courts of Rhode Island,Rhode Island Supreme Court,5,Lifetime[11],Missouri Plan,None[11]
Courts of South Carolina,South Carolina Supreme Court,5,10 years,Election by State Legislature,72
Courts of South Dakota,South Dakota Supreme Court,5,8 years,Non-partisan election,
Courts of Tennessee,Tennessee Supreme Court,5,8 years,Tennessee Plan (Modified Missouri Plan),
Judiciary of Texas,Texas Supreme Court Texas Supreme Court,9 (both),6 years (both),Partisan election," 75 (may finish term or 4 years of term, whichever is shorter) "
Courts of Utah,Utah Supreme Court,5,4 years,Missouri Plan,
Judiciary of Vermont,Vermont Supreme Court,5,6 years,Election by State Legislature,
Judiciary of Virginia,Supreme Court of Virginia,7,12 years,Election by State Legislature,70[12]
Courts of Washington (U.S. state),Washington Supreme Court,9,6 years,Non-partisan election,75
Courts of West Virginia,Supreme Court of Appeals of West Virginia,5,12 years,Partisan election,
Courts of Wisconsin,Wisconsin Supreme Court,7,10 years,Non-partisan election,
Courts of Wyoming,Wyoming Supreme Court,5,8 years,Missouri Plan,
