English, Danish, Norwegian (Bokmål), Swedish
afraid, bange (arch. dial.:) ræd, redd but also bange (archaic mostly used in standard expressions like "bange anelser"), rädd frukta(-nde) skrämd skraj
afterwards, bagefter derefter, etterpå efterpå (conservative) deretter/derefter, efteråt därefter
angry, vred, sint vred (literary)[32], arg ilsk ilsken vred förbannad
autumn, efterår (poet.:) høst, høst etterår/efterår (archaic), höst
be correct hold true, passe stemme, stemme, stämma
boy, dreng (colloquial:) gut, gutt dreng (archaic or used in a more narrow sense), pojke pojk (colloquial) dräng (archaic) gosse yngling kille grabb påg
black, sort, svart sort, svart
breakfast, morgenmad, frokost, frukost morgonmål
breathe, ånde, puste ånde, andas
cinema, biograf kino (old-fashioned), kino biograf (older cinemas), bio biograf
cold, kold, kald kold, kall kylig sval
to comb (verb), rede, gre(ie) kjemme, kamma
decade, årti tiår dekade, tiår årti dekade, årtionde
difficult, svær vanskelig, vanskelig, svår vansklig besvärlig
dinner, middag aftensmad, middag, middag
easy, nem let, lett nem, lätt enkel simpel
evening, aften (poet.:) kvæld, kveld aften, kväll afton
fact, kendsgerning faktum, faktum kjennsgjerning, faktum
fast quick(ly), hurtig rask, fort (adv) rask (adj) hurtig, snabb (adj) snabbt (adv) fort (adv)
forward, frem(over), frem(over) fram(over), framåt
floor (storey), etage sal, etasje, våning etage (rare)
frog, frø, frosk, groda
fun, sjov, moro gøy, rolig kul skojig lustig komisk festlig
future, fremtid, fremtid framtid, framtid
hesitate, tøve nøle, nøle, tveka
girl, pige, jente pike, flicka tjej (colloquial) piga (dated) jänta tös
good, god(t), bra god(t), bra god
healthy, rask sund frisk, frisk sunn, hälsosam frisk sund
hydrogen, brint[33] hydrogen, hydrogen vannstoff (archaic), väte
... isn't it?/didn't he? etc., ... ikke/vel? ikke sandt? ikke også?, ... ikke sant?, ... eller hur? inte sant?
jealous, jaloux skinsyg misundelig, sjalu misunnelig, avundsjuk svartsjuk missunnsam
last year, sidste år i fjor, i fjor, förra året i fjol
like (vb. enjoy), kunne lide, like, tycka om gilla uppskatta
lunch, frokost, lunsj (alt. lønsj or lunch) formiddagsmat, lunch frukost (dated)
maybe, måske muligvis kanske (old-fashioned), kanskje muligvis måskje (archaic), kanske måske (archaic) möjligen
moustache, overskæg, bart overskjegg, mustasch
oxygen, ilt[33] oxygen, oksygen surstoff, syre oxigen (only in chemistry)
potato, kartoffel, potet kartoffel (outdated)[34], potatis
rubbish (nonsense), sludder vrøvl vås nonsens, sludder vrøvl nonsens tull tøys vås, skräp sopor
satisfied/pleased, tilfreds fornøjet, fornøyd tilfreds, nöjd tillfreds
sheep, får, sau smale (archaic/dialectal) får (archaic/dialectal used in expressions/ fixed phrases ), får lamm
short (person), lille lav, kort lav, kort
sometimes, somme tider iblandt (colloquial:) nogle gange af og til indimellem, iblant av og til innimellom, ibland
spring(time), forår (poet.:) vår, vår forår (archaic), vår
still (yet), stadigvæk fremdeles (archaic) fortsat, fremdeles fortsatt, fortfarande ännu fortsatt
team, hold, lag, lag team (colloquial)
there thither (about direction), derhen, der hen derhen (riksmål)[35] dit dithen, dit
toad, tudse, padde, padda
ugly, grim (ethically:) styg, stygg grim, ful
usual, sædvanlig vanlig (archaic), vanlig sedvanlig, vanlig
[earth]worm, orm, [meite]makk [mete]mark orm (Ambiguous could mean both worm and snake cf. wyrm.), mask
wrong, forkert gal(t), gal(t) feil, fel
