Format,Languages
"  string_in_string ( string , loc int,  substring ) ",ALGOL 68
"  ContainsStr ( string ,  substring ) ",Object Pascal (Object Pascal)
" strstr( string ,  substring ) != NULL "," C (programming language), C (programming language) (char * only) "
string .Contains( substring )," C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language) "
string .contains( substring )," Cobra (programming language), Cobra (programming language) (1.5+), Cobra (programming language), Cobra (programming language)Cobra (programming language) "
string .indexOf( substring ) >= 0,JavaScript
" strpos( string ,  substring ) !== false ",PHP
" pos( string ,  substring ) <> 0 ",Seed7
substring  in  string," Cobra (programming language), Cobra (programming language) (2.3+) "
" string.find( string ,  substring ) ~= nil ",Lua (programming language)
string .include?( substring ),Ruby (programming language)
Data.List.isInfixOf  substring   string,Haskell (programming language) (GHC 6.6+)
string  includesSubstring:  substring," Smalltalk (Smalltalk, Smalltalk, Smalltalk) "
String.isSubstring  substring   string,Standard ML
(search  substring   string ),Common Lisp
(not (null (string-index  substring   string ))),ISLISP
(substring?  substring   string ),Clojure
" ! StringFreeQ[ string ,  substring ] ",Mathematica
" index( string ,  substring ,  startpos )>0 "," Fortran, PL/I (page does not exist)Fortran, PL/I (page does not exist) "
" index( string ,  substring ,  occurrence )>0 ",Pick Basic
" strings.Contains( string ,  substring ) ",Go (programming language)
string .find( substring ) != string::npos,C++
[ string  containsString: substring ]," Objective-C (NSString * only, iOS 8+/OS X 10.10+) "
string .rangeOfString( substring ) != nil,Swift (programming language) (Foundation)
∨/ substring ⍷ string,APL (programming language)
