DVR,TV Tuner Sharing (page does not exist),Hard Disk Pooling (page does not exist),Shared Media Database (page does not exist),Home Automation,Media extenders,Placeshifting,Digital Audio Control Protocol,Second screen
Beyond TV,Yes,Yes,No,No,Yes,Yes,No,Unknown
Elgato,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown
NextPVR,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kodi (software) (formerly  XBMC ),Yes,Yes,Yes,Yes4,Yes,Unknown,Yes3,Unknown
MediaPortal,Yes,Yes,Yes,Yes,Yes,Yes,Yes4,Unknown
Showshifter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MythTV,Yes,Yes,Yes,Yes3,Yes,Yes,Yes,Unknown
SageTV,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown
Arcsoft TotalMedia Theatre,Yes,Yes,Yes,No,Yes,Yes,No,Unknown
Windows Media Center,Yes6,Yes7,Yes,Yes2,Yes,Yes5,Yes2,Unknown
VBox Home TV Gateway,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown
