Tools,User Interface,Create &amp; Alter wizard,,,,User interface,,,,Auto Completion,Syntax colored,Multi server support,Monitoring server
,,Database,Table (database),Procedure,Database trigger,Database,Table (database),Procedure,Database trigger,,,,
Adminer,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
DatabaseSpy,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
DaDaBIK,Browser-based,No,Some[note 1],No,No,No,Some[note 2],No,No,No,No,No,?
Database Deployment Manager,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?
Database Workbench,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
DataGrip,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
DBeaver,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DBEdit,desktop,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,?
Epictetus Database Client,desktop,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?
SQL Server Management Studio,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ModelRight,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
MySQL Workbench,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Some
Navicat,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Navicat,desktop,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,?
Oracle Enterprise Manager,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
Oracle SQL Developer,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Orbada,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
PgAdmin III,Tabbed document interface,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Some
PhpLiteAdmin,Browser-based,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?
PhpMyAdmin,Browser-based,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SQL Database Studio,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
SQLyog,desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
SQuirreL SQL,desktop,?,?,?,?,Yes,Yes,?,?,Yes,Yes,Some,?
Toad (software),desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Toad Data Modeler,desktop,Yes,Yes,Yes,Yes,Some,Some,Some,Some,No,Yes,?,?
TOra,desktop,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
