Client,,IP to Country,Protocol Obfuscation[N 7],Handles files >4GB,Chat[N 8],Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC (page does not exist) L2HAC (page does not exist),Secure User ID,Global Searches,UPnP port mapping[N 10],Intelligent Chunk Selection,Lancast,HideOS / SotN
AMule,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes[N 11],No,No,No
EMule,Official,No,Yes,Yes,Yes,Yes,Yes,zz's Version,Yes,No,Yes,Yes,Yes,No,No,No
,Osp,No,Yes,Yes,Yes,Yes,Yes,zz's Version,Yes,No,Yes,Yes,Yes,No,No,No
,AnalyZZUL,No,Yes,Yes,Yes,Yes,Yes,zz's Version,Yes,No,Yes,Yes,Yes,No,No,No
,beba,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Version 1,No,No
,Magic Angel,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,both
,Mephisto,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,No,No,both
,MorphXT,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,both
,NeoMule,Yes,Yes,Yes,Yes,Yes,Yes,own simplified implementation,Yes,Yes,Yes,Yes,Yes,Version 2,Version 2,own implementation
,ScarAngel,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,No,No,both
,SharkX,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,No
,Sivka,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Version 1,HideOS
,Spike2,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,No
,StulleMule,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,both
,Xtreme Mod,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,No,No,own implementation
,X-Ray,Yes,Yes,Yes,Yes,Yes,Yes,DBR,Yes,Yes,Yes,Yes,Yes,Version 1,No,No
,ZZUL,No,Yes,Yes,Yes,Yes,Yes,zz's Version,Yes,No,Yes,Yes,Yes,No,No,No
,ZZUL BastarD,No,Yes,Yes,Yes,Yes,Yes,zz's Version,Yes,No,Yes,Yes,Yes,No,No,No
EMule Plus,,Yes,No,up to 512GB,Yes,Yes,Yes,?,No,Yes,Yes,Yes,No,Yes,Version 1,manual hiding
Lphant,,No,Yes,Yes,Yes,Yes,Yes,Yes,CCH (similar to ICH),No,Yes,No,Yes,No,Version 1,No
MLDonkey,,Yes,No,Yes,Yes,Yes,?,No,Yes,No,Yes,Yes,Yes,No,No,No
Shareaza,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
XMule,,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Client,,IP to Country,Protocol Obfuscation[N 7],Handles files >4GB,Chat[N 8],Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC [N 9],Secure User ID,Global Searches,UPnP port mapping[N 10],Intelligent Chunk Selection,Lancast,HideOS / SotN
