Name,Individual view,Family view,Pedigree view,Chronology view,Ancestor charts,Ancestor narrative reports,Ancestor pedigree reports,Descendant charts,Descendant narrative reports,Fan charts,Research Manager,DNA charts,Research Guidance,Mapping
Agelong Tree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Ahnenblatt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Ancestral Quest,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Brother's Keeper (software),Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,No,?
Family HistorianFamily Historian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
MyHeritage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Family Tree Maker,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes
GEDitCOM,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Genbox Family History,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
GenealogyJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
GenEarth (page does not exist),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,?,?,Yes
Genney (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes
GenoPro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,No,Yes
Gramps,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Heredis (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Legacy Family TreeLegacy Family Tree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
LifeLines,Yes,Yes,Yes,?,?,?,?,?,?,?,?,?,No,?
MacFamilyTree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Personal Ancestral File,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,?,No,?
Reunion (genealogy software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
RootsMagic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Master Genealogist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,No,?
