,ZIP (file format),Tar (file format),Gzip,Bzip2,7z (file format),XZ Utils,RAR (file format),LHA (file format),ACE (compression file format),StuffIt,StuffIt,ARJ,KGB Archiver,DAR (Disk Archiver),ARC (file format),Cabinet (file format),ALZip,ISO image,ZPAQ
7-Zip,Yes,Yes,Yes[14],Yes[14],Yes,Yes[14],No,No,No,No,No,No,No,No,No,No,No,No,No
ALZipALZip,Yes,Yes,Yes,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,No
Archive Manager,Yes,Yes,Yes,Yes,Yes,Yes,No[12],Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No
Archive Utility,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No
Ark (computing),Yes,Yes,Yes,Yes,Yes,Yes,No[10],Yes,No,No,No,No,No,No,No,No,No,No,No
B1 Free Archiver,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BetterZip,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Tar (file format),Yes,Yes,Yes[15],Yes[15],Yes,Yes[15],No,No,No,No,No,No,No,No,No,No,No,Yes,No
Commander One,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CRAX Commander,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
DAR (Disk Archiver),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Filzip,Yes,Yes,Yes,No,No,Unknown,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No
FreeArc,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Tar (file format),No,Yes,Yes[1],Yes[1],No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
IArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No
Info-ZIP,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
KGB Archiver,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No
Peazip,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
PKZIP,Yes,Yes,Yes,Yes,No,Unknown,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No
PowerArchiver,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
Tar (file format),No,Yes,Yes[1],Yes[1],Yes[1],Yes[1],No,No,No,No,No,No,No,No,No,No,No,No,No
StuffItStuffIt,Yes,Yes,Yes,Yes,No,Unknown,No[9],Yes,No,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No
TUGZip,Yes,Yes,Yes,Yes,Yes,Unknown,No[2],Yes,No[4],No,No,No,No,No,No,Yes,No,Unknown,No
WinAce,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Yes,No,No,No,No,Unknown,Unknown,Yes,Unknown,Yes,No
WinRAR,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
WinZip,Yes,No,No,No,No,Unknown,No,Yes,No,No,No,No[3],No,Unknown,Yes,No,No,No,No
Xarchiver,Yes,Yes,Yes,Yes,Yes,Unknown,No[11],Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
ZipGenius,Yes,Yes[7],Yes[7],Yes[7],Yes,Unknown,No,Yes[8],No,No,No,No,No,No,Unknown,Yes[7],No,No,No
,ZIP (file format),Tar (file format),Gzip,Bzip2,7z (file format),XZ Utils,RAR (file format),LHA (file format),ACE (compression file format),StuffIt,StuffIt,ARJ,KGB Archiver,DAR (Disk Archiver),ARC (file format),Cabinet (file format),ALZip,ISO image,ZPAQ
