Implementation,Secure Renegotiation [173],Server Name Indication [174],Application-Layer Protocol Negotiation Application-Layer Protocol Negotiation,OCSP stapling OCSP stapling,OpenPGP OpenPGP,Supplemental Data [177],Session Ticket [178],Keying Material Exporter [179],Maximum Fragment Length [174],Truncated HMAC HMAC,Encrypt-then-MAC Encrypt-then-MAC,TLS Fallback SCSV [181],Extended Master Secret [182],ClientHello Padding [183],Raw Public Keys [184]
Botan (programming library),Yes,Yes,Yes[185],No,No,No,Yes,Yes,Yes,No,Yes,Yes[186],Yes[187],No,Unknown
Cryptlib,Yes,Yes,No,No,No,Yes,No,No,No[188],No,Yes,Yes,Yes,No,Unknown
GnuTLS,Yes,Yes,Yes[189],Yes,No[190],Yes,Yes,Yes,Yes,No,Yes[38],Yes[191],Yes[38],Yes[192],Yes[193]
Java Secure Socket Extension,Yes,Yes[67],Yes[67],Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
LibreSSL,Yes,Yes,Yes[194],Yes,No,No?,Yes,Yes?,No,No,No,Server side only[195],No,Yes,Unknown
MatrixSSL,Yes,Yes,Yes[196],Yes[130],No,No,Yes,No,Yes,Yes,No,Yes[130],Yes[130],No,Unknown
Mbed TLS,Yes,Yes,Yes[197],No,No,No,Yes,No,Yes,Disabled by default[46],Yes[198],Yes[198],Yes[198],No,No
Network Security Services,Yes,Yes,Yes[199],Yes,No[200],No,Yes,Yes,No,No,No[201],Yes[202],Yes[203],Yes[199],Unknown
OpenSSL,Yes,Yes,Yes[54],Yes,No,No?,Yes,Yes,Yes,No,Yes,Yes[204],Yes[205],Yes[206],Unknown
RSA BSAFE Micro-Edition Suite,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
RSA BSAFE SSL-J,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
SChannel,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
SChannel,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes[207],No,Unknown
SChannel,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes[207],No,Unknown
SChannel,Yes,Yes,No,Yes,No,Yes,Client side only[208],No,No,No,No,No,Yes[207],No,Unknown
SChannel,Yes,Yes,Yes,Yes,No,Yes,Yes[208],No,No,No,No,No,Yes[207],No,Unknown
Secure Transport,Yes,Yes,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
WolfSSL,Yes,Yes,Yes[150],Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Unknown
Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding
