Communications protocol,Creator,First public release date,License,Identity (not inc. alias),Asynchronous message relaying,Transport Layer Security,End-to-end encryption,Unlimited number of contacts,Bulletins to all contacts,One-to-many routing 4,Messaging spam protection," Group, channel or conference support ",Audio/VoIP support,Webcam/Video,Batch file sharing,Media synchronisation,Serverless 6 (decentralized),Communications protocol
Bitmessage,Jonathan Warren,2012 Nov,Open standard,Alphanumeric address,Yes,Yes,Yes,Yes,No,Yes,Yes (through Proof-of-work system),Yes,No,No,Yes,No,Yes,Bitmessage
Bonjour (software),Apple Inc.,2002 August,Proprietary Freeware; portions under the Apache license,Username,No,No,No,Yes,No,Multicast,Medium,No,No,No,Yes,No,Yes,Bonjour (software)
Briar (software),Briarproject.org,2018 May 9,Open standard,Public &amp; Private key (via QR Codes),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Briar (software)
Gadu-Gadu,GG Network,2000 Jul 17,Proprietary protocol,Unique number e.g. 12345678,Yes,Yes,No,Yes,No,Centralistic,Yes 5 (simple),Yes,Yes,Yes,Yes,No,No,Gadu-Gadu
Internet Relay Chat,Jarkko Oikarinen,1988 Aug,Open standard," Nickname!Nickname@Nickname (or ""hostmask"") e.g. user!~usr@a.b.comNickname "," Yes, but via a memo system that differs from the main system "," Yes, depending on individual server support ",OTR by DM to client-to-client only,No3,No,Simplistic Multicast,Medium," Yes (everyone, multiple simultaneous, any size) ",No,No,Yes,No,No,Internet Relay Chat
Echo (communications protocol),spot-on.sf.net / goldbug.sf.net,2013,Open standard,Key,Yes," Yes, optional ",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Echo (communications protocol)
Matrix (communication protocol),Matrix.org,2014 SepWikipedia:Verifiability[ Wikipedia:Verifiability ],Open standard,Matrix user ID (MXID),Yes," Yes, mandatory "," Yes, default for private conversations[2] ",Yes,Yes,Yes,Yes (using pluggable server-side filtering modules),Yes,Yes,Yes,Yes,Yes,Yes,Matrix (communication protocol)
" Microsoft Notification Protocol (Microsoft Notification Protocol, etc.) ",Microsoft,1999 Jul,Proprietary protocol,Email address (Email address),Yes,No,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,Yes,Yes,Yes,No," Microsoft Notification Protocol (Microsoft Notification Protocol, etc.) "
MTProto (Telegram (software)),Telegram Messenger LLP,2013 Aug,Open standard," Phone number (e.g. +1234567890), nickname (e.g. @example) ",Yes,Yes,No end-to-end encryption for group chats on any client. No end-to-end encrypted one-on-one chats on desktop clients,Yes,No,Yes," Yes, contact blocking ",Yes,Yes[3],Yes,Yes,Yes,No,MTProto (Telegram (software))
Mumble (software),Thorvald Natvig,1999 Jul,Open standard,Username,Yes,Yes,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,No,Yes,No,No,Mumble (software)
" OSCAR protocol (OSCAR protocol, OSCAR protocol) ",AOL,1997,Proprietary protocol (Discontinued 15-Dec-2017)Proprietary protocol," User (computing), Email Address or User (computing) e.g. 12345678 ",Yes," Yes (Aim Pro, Aim Lite) ",No,No,No,Centralistic,client-based," Yes (Multiple, simultaneous) ",Yes,Yes,Yes,No,No," OSCAR protocol (OSCAR protocol, OSCAR protocol) "
" Rendezvous protocol (Rendezvous protocol, etc.) ",Microsoft,1997 Mar,Proprietary protocol (Discontinued),Windows Active Directory Login,No,No,No,?,No,Centralistic,None,No,?,?,No,No,No," Rendezvous protocol (Rendezvous protocol, etc.) "
Ricochet (software),Invisible.im,2014 Mar,Open standard,Tor onion address,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Ricochet (software)
Jami (software) (based on Jami (software) and Jami (software)),Savoir-faire Linux Inc.,2015 May,Open standard,40-digit address,Yes,Yes,Yes,Yes,No,Yes,Medium,Yes,Yes,Yes,Yes,No,Yes,Jami (software) (based on Jami (software) and Jami (software))
Signal Protocol,Signal Messenger,2014 Feb[5],Open standard,Phone number (e.g. +1234567890),Yes,Yes,Yes,Yes,?,Yes," Yes, contact blocking ",Yes,Yes,Yes,Yes,Yes,No,Signal Protocol
Session Initiation Protocol/Session Initiation Protocol,Internet Engineering Task Force,1996,Open standard,user@hostname,Yes,Yes,Optional,Yes,Yes,No,Medium,?,Yes,Yes,Yes,No,Depends on implemenation,Session Initiation Protocol/Session Initiation Protocol
Skype protocol,Skype,2003 Aug,Proprietary protocol,User (computing),Yes,Proprietary software,No,No,No,Centralistic,client-based,Yes,Yes,Yes,Yes,No,No,Skype protocol
Steam (software),Valve Corporation,2003 Sep 12,Proprietary protocol,SteamID/Username or Unique Number,Yes,Proprietary software,?," No, although rising ",Yes,?,No,Yes,Yes,No,No,No,No,Steam (software)
TOC protocol,AOL,2005 Sep,Proprietary protocol (Discontinued),User (computing) or User (computing) e.g. 12345678,Yes,No,No,No,No,Centralistic,No,paying members only,?,?,Partial,?,No,TOC protocol
Tox (protocol) (based on Tox (protocol)),irungentoo (github user),2013 June,Open standard,Public &amp; Private key,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Tox (protocol) (based on Tox (protocol))
Tuenti,Tuenti,2006,Proprietary protocol,User (computing),Yes,Yes,No,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Tuenti
Windows Messenger service,Microsoft,1990,Proprietary protocol (Discontinued),NetBIOS,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Windows Messenger service
Extensible Messaging and Presence Protocol," Jeremie Miller, standardized via Jeremie Miller ",1999 Jan,Open standard,Extensible Messaging and Presence Protocol (JID) e.g. usr@a.b.c/homeExtensible Messaging and Presence Protocol,Yes,Yes,Optional[6][7][8],Yes,Yes,Yes[9][10],Yes[11][12][13],Yes[9]," Yes, via Jingle (protocol) "," Yes, via Jingle (protocol) ",Yes,Yes[14],Optional[15],Extensible Messaging and Presence Protocol
Yahoo! Messenger Protocol (Yahoo! Messenger Protocol),Yahoo!," 1998, March 9 ",Proprietary protocol,User (computing),Yes,No[ Wikipedia:Manual of Style/Dates and numbers ],No,No,Yes,Centralistic,Yes,Yes,Yes,Yes,Yes,No,No,Yahoo! Messenger Protocol (Yahoo! Messenger Protocol)
Zephyr (protocol),Project Athena,1987,Open standard,Kerberos (protocol) principal e.g. user@ATHENA.MIT.EDU,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Zephyr (protocol)
SMS/SMS/SMS/Call,Friedhelm Hillebrand,1985,Proprietary protocol,Phone number (e.g. +1234567890),Yes,No,No," About 250 contacts in SIM, unlimited from phone. ",No,serial messages,Medium,No,Yes,No,No,No,?,SMS
